millis,a_x,a_y,a_z,f
69381,-0.59,0.93,0.93,0
69385,-0.59,0.93,0.93,0
69389,-0.59,0.93,0.93,0
69394,-0.59,0.93,0.93,0
69398,-0.59,0.93,0.98,0
69402,-0.44,0.78,0.98,0
69406,-0.44,0.78,0.98,0
69410,-0.44,0.78,0.98,0
69415,-0.44,0.78,0.98,0
69419,-0.54,0.93,1.07,0
69423,-0.54,0.93,1.07,0
69428,-0.54,0.93,1.07,0
69432,-0.54,0.93,1.07,0
69436,-0.54,0.93,0.98,0
69440,-0.59,0.78,0.98,0
69445,-0.59,0.78,0.98,0
69449,-0.59,0.78,0.98,0
69453,-0.59,0.78,0.98,0
69458,-0.78,0.59,0.88,0
69462,-0.78,0.59,0.88,0
69467,-0.78,0.59,0.88,0
69471,-0.78,0.59,0.88,0
69475,-0.78,0.68,0.93,0
69480,-0.59,0.68,0.93,0
69484,-0.59,0.68,0.93,0
69488,-0.59,0.68,0.93,0
69493,-0.59,0.68,1.07,0
69497,-0.64,0.64,1.07,0
69501,-0.64,0.64,1.07,0
69505,-0.64,0.64,1.07,0
69511,-0.64,0.64,1.07,0
69515,-0.83,0.54,0.93,0
69519,-0.83,0.54,0.93,0
69524,-0.83,0.54,0.93,0
69528,-0.83,0.54,0.93,0
69532,-0.98,0.15,0.98,0
69537,-0.98,0.15,0.98,0
69541,-0.98,0.15,0.98,0
69545,-0.98,0.15,0.98,0
69550,-0.98,0.15,1.22,0
69554,-0.98,0.54,1.22,0
69558,-0.98,0.54,1.22,0
69563,-0.98,0.54,1.22,0
69567,-0.98,0.54,1.22,0
69571,-1.03,0.29,1.42,0
69576,-1.03,0.29,1.42,0
69580,-1.03,0.29,1.42,0
69584,-1.03,0.29,1.42,0
69589,-1.03,0.29,1.37,0
69593,-1.12,0.34,1.37,0
69597,-1.12,0.34,1.37,0
69601,-1.12,0.34,1.37,0
69606,-1.12,0.34,1.37,0
69610,-1.86,0.29,1.12,0
69614,-1.86,0.29,1.12,0
69622,-1.86,0.29,1.12,0
69626,-1.86,0.29,1.37,0
69630,-2.05,0.29,1.37,0
69635,-2.05,0.29,1.37,0
69639,-2.05,0.29,1.37,0
69643,-2.05,0.29,1.37,0
69647,-2.74,0.1,1.66,0
69652,-2.74,0.1,1.66,0
69656,-2.74,0.1,1.66,0
69661,-2.74,0.1,1.66,0
69665,-1.95,-0.1,2.1,0
69669,-2.2,-0.1,2.1,0
69674,-2.2,-0.1,2.1,0
69678,-2.2,-0.1,2.1,0
69682,-2.2,-0.1,1.76,0
69687,-2.54,-0.05,1.76,0
69691,-2.54,-0.05,1.76,0
69695,-2.54,-0.05,1.76,0
69700,-2.54,-0.05,1.76,0
69704,-1.66,-0.05,2.39,0
69708,-1.66,-0.05,2.39,0
69713,-1.66,-0.05,2.39,0
69717,-1.66,-0.05,2.39,0
69722,-0.1,-0.05,1.91,3641
69726,-0.05,-0.05,1.91,3885
69730,-0.05,-0.05,1.91,4095
69735,-0.05,-0.05,1.91,4095
69739,-0.05,-0.05,-6.69,4095
69743,8.3,7.72,-6.3,4095
69748,8.3,7.72,-6.3,4095
69752,8.3,7.72,-6.3,4095
69756,8.3,7.72,-6.3,4095
69760,9.72,3.03,2.64,4095
69765,9.72,3.03,2.64,4095
69769,9.72,3.03,2.64,4095
69773,9.72,3.03,2.64,4095
69777,9.72,3.03,3.42,4095
69781,1.17,-2.74,3.42,4095
69786,1.17,-2.74,3.42,4093
69790,1.17,-2.74,3.42,3959
69794,1.17,-2.74,3.42,3913
69798,-0.44,-3.08,2.54,3762
69803,-0.44,-3.08,2.54,3643
69807,-0.44,-3.08,2.54,3494
69812,-0.44,-3.08,2.54,3312
69816,-0.44,-0.73,0.49,3104
69821,0.68,-0.39,0.49,2608
69825,0.68,-0.39,0.49,1783
69829,0.68,-0.39,0.49,1211
69833,0.68,-0.39,0.49,987
69838,-0.68,-0.83,-0.2,695
69842,-0.68,-0.83,-0.2,485
69847,-0.68,-0.83,-0.2,679
69851,-0.68,-0.83,-0.2,781
69855,1.17,0.93,0.39,941
69860,1.17,0.93,0.39,815
69864,1.17,0.93,0.39,560
69868,1.17,0.93,0.39,624
69872,1.17,0.93,1.22,221
69876,0.34,1.51,1.22,167
69880,0.34,1.51,1.22,190
69884,0.34,1.51,1.22,114
69931,0.44,0.44,0.39,0
69935,0.44,0.44,0.39,0
69939,0.44,0.44,0.39,0
69943,0.44,0.44,0.39,0
69947,0.44,0.44,0.39,0
69952,0.29,0.34,0,0
69956,0.29,0.34,0,0
69960,0.29,0.34,0,0
69965,0.29,0.34,0,0
69969,0.2,0.73,0,0
69973,0.2,0.73,0,0
69977,0.2,0.73,0,0
69982,0.2,0.73,0,0
69986,0.2,0.73,-0.15,0
69990,0.2,0.78,-0.15,0
69995,0.2,0.78,-0.15,0
69999,0.2,0.78,-0.15,0
70003,0.2,0.78,-0.15,0
70008,0.1,0.88,0,0
70012,0.1,0.88,0,0
70016,0.1,0.88,0,0
70020,0.1,0.88,0,0
70025,0.1,0.88,0.05,0
70029,-0.05,0.83,0.05,0
70033,-0.05,0.83,0.05,0
70038,-0.05,0.83,0.05,0
70042,-0.05,0.83,0.05,0
70046,-0.05,0.98,0.15,0
70051,-0.05,0.98,0.15,0
70055,-0.05,0.98,0.15,0
70059,-0.05,0.98,0.15,0
70063,-0.05,1.07,-0.24,0
70068,-0.1,1.07,-0.24,0
70072,-0.1,1.07,-0.24,0
70077,-0.1,1.07,-0.24,0
70081,-0.1,1.07,0,0
70085,-0.1,1.03,0,0
70090,-0.1,1.03,0,0
70094,-0.1,1.03,0,0
70098,-0.1,1.03,0,0
70102,-0.24,1.03,0,0
70107,-0.24,1.03,0,0
70111,-0.24,1.03,0,0
70115,-0.24,1.03,0,0
70120,-0.24,1.03,0.2,0
70124,-0.15,0.98,0.2,0
70128,-0.15,0.98,0.2,0
70133,-0.15,0.98,0.2,0
70137,-0.15,0.98,0.2,0
70141,-0.29,0.88,0.54,0
70145,-0.29,0.88,0.54,0
70150,-0.29,0.88,0.54,0
70154,-0.29,0.88,0.54,0
70158,-0.29,0.93,0.39,0
70163,-0.34,0.93,0.39,0
70167,-0.34,0.93,0.39,0
70171,-0.34,0.93,0.39,0
70176,-0.34,0.93,0.29,0
70180,-0.29,0.64,0.29,0
70184,-0.29,0.64,0.29,0
70189,-0.29,0.64,0.29,0
70193,-0.29,0.64,0.29,0
70197,-0.39,0.78,0.54,0
70202,-0.39,0.78,0.54,0
70206,-0.39,0.78,0.54,0
70210,-0.39,0.78,0.54,0
70215,-0.39,0.78,0.44,0
70219,-0.29,0.93,0.44,0
70223,-0.29,0.93,0.44,0
70227,-0.29,0.93,0.44,0
70232,-0.29,0.93,0.44,0
70236,-0.24,0.78,0.59,0
70240,-0.24,0.78,0.59,0
70246,-0.24,0.78,0.59,0
70250,-0.24,0.78,0.59,0
70255,-0.24,0.68,0.73,0
70259,-0.24,0.68,0.73,0
70263,-0.24,0.68,0.73,0
70268,-0.24,0.68,0.73,0
70272,-0.24,0.73,0.93,0
70276,-0.49,0.73,0.93,0
70281,-0.49,0.73,0.93,0
70285,-0.49,0.73,0.93,0
70289,-0.49,0.73,0.93,0
70294,-0.49,0.68,0.93,0
70298,-0.49,0.68,0.93,0
70302,-0.49,0.68,0.93,0
70307,-0.49,0.68,0.93,0
70311,-0.39,0.73,0.88,0
70315,-0.39,0.73,0.88,0
70320,-0.39,0.73,0.88,0
70324,-0.39,0.73,0.88,0
70328,-0.39,0.73,1.17,0
70333,-0.44,0.73,1.17,0
70337,-0.44,0.73,1.17,0
70341,-0.44,0.73,1.17,0
70346,-0.44,0.73,1.17,0
70350,-0.29,1.07,0.83,0
70354,-0.29,1.07,0.83,0
70359,-0.29,1.07,0.83,0
70363,-0.29,1.07,0.83,0
70367,-0.39,0.73,1.12,0
70372,-0.39,0.73,1.12,0
70376,-0.39,0.73,1.12,0
70380,-0.39,0.73,1.12,0
70385,-0.39,0.73,1.07,0
70389,-0.39,0.93,1.07,0
70393,-0.39,0.93,1.07,0
70398,-0.39,0.93,1.07,0
70402,-0.39,0.93,1.07,0
70406,-0.49,0.64,1.27,0
70410,-0.49,0.64,1.27,0
70415,-0.49,0.64,1.27,0
70419,-0.49,0.64,1.27,0
70423,-0.49,0.64,1.37,0
70428,-0.49,0.73,1.37,0
70432,-0.49,0.73,1.37,0
70436,-0.49,0.73,1.37,0
70441,-0.49,0.73,1.37,0
70445,-0.34,0.78,1.22,0
70449,-0.34,0.78,1.22,0
70454,-0.34,0.78,1.22,0
70458,-0.34,0.78,1.22,0
70462,-0.34,0.93,1.07,0
70467,-0.34,0.93,1.07,0
70471,-0.34,0.93,1.07,0
70475,-0.34,0.93,1.07,0
70480,-0.34,0.93,0.93,0
70484,-0.49,0.78,0.93,0
70488,-0.49,0.78,0.93,0
70493,-0.49,0.78,0.93,0
