millis,, a_y, a_z, g_x, g_y, g_z,f
152091,-0.28,-0.61,-10.52,-0.26,0.11,0.22,0
152097,-0.28,-0.6,-10.41,-0.25,0.11,0.23,0
152101,-0.65,-0.96,-9.79,-0.25,0.1,0.23,0
152107,-0.67,-0.95,-9.99,-0.2,0.06,0.24,0
152111,-0.69,-1.12,-9.88,-0.19,0.06,0.25,0
152116,-0.51,-1.65,-9.5,-0.17,0.06,0.25,0
152121,-0.7,-1.16,-9.37,-0.15,0.04,0.24,0
152127,-0.64,-0.5,-9.04,-0.14,0.02,0.26,0
152131,-0.21,-1.13,-8.84,-0.12,0.02,0.27,0
152137,0.16,-1.15,-8.78,-0.1,0.05,0.24,0
152141,0.36,-0.67,-8.6,-0.08,0.02,0.26,0
152147,-0.13,-0.85,-8.71,-0.05,-0.03,0.28,0
152151,-0.7,-1,-8.75,-0.03,-0.04,0.27,0
152157,-1.22,-0.75,-9.56,0,-0.05,0.26,0
152162,-1.25,-1.23,-9.11,0.01,-0.04,0.27,0
152167,-0.94,-1.45,-9.58,0.03,-0.06,0.27,0
152171,-0.62,-0.76,-9.82,0.05,-0.06,0.27,0
152177,-0.69,-0.11,-9.69,0.05,-0.08,0.27,0
152181,-0.87,-0.12,-10.04,0.07,-0.11,0.27,0
152186,-0.88,-0.46,-10.4,0.1,-0.12,0.27,0
152191,-0.67,-1.07,-10.13,0.1,-0.11,0.27,0
152196,-0.48,-1.36,-10.26,0.14,-0.13,0.27,0
152201,-0.51,-1.19,-10.05,0.16,-0.14,0.26,0
152205,-0.51,-1,-10.34,0.18,-0.18,0.27,0
152211,-0.68,-0.8,-10.01,0.2,-0.18,0.27,0
152215,-0.51,-0.08,-10.18,0.21,-0.19,0.27,0
152220,-0.38,0.05,-9.94,0.21,-0.21,0.29,0
152224,-0.12,0.25,-9.95,0.22,-0.21,0.27,0
152229,0.18,0.27,-9.8,0.24,-0.2,0.26,0
152234,0.46,0.51,-9.87,0.25,-0.21,0.26,0
152239,0.58,0.75,-9.88,0.25,-0.21,0.26,0
152243,0.63,1.01,-9.9,0.25,-0.22,0.27,0
152248,0.61,1.33,-9.89,0.25,-0.23,0.27,0
152253,0.89,1.59,-9.99,0.25,-0.23,0.26,0
152258,0.77,1.61,-9.74,0.26,-0.23,0.26,0
152262,0.95,1.79,-10.2,0.26,-0.23,0.25,0
152267,1,1.85,-10.18,0.25,-0.22,0.25,0
152272,1.13,2.04,-10.22,0.24,-0.22,0.25,0
152276,1.34,2.19,-10.3,0.24,-0.22,0.24,0
152281,1.59,2.28,-10.2,0.23,-0.21,0.24,0
152285,1.67,2.39,-10.23,0.22,-0.2,0.23,0
152290,1.75,2.23,-10.13,0.22,-0.2,0.23,0
152294,1.76,2,-10.1,0.22,-0.21,0.23,0
152299,1.69,2.14,-9.96,0.22,-0.21,0.23,0
152303,1.85,2.49,-10.28,0.21,-0.2,0.22,0
152307,1.89,2.54,-9.72,0.19,-0.17,0.22,0
152312,1.88,2.71,-9.38,0.18,-0.17,0.22,0
152316,1.97,3.06,-9.8,0.17,-0.17,0.22,0
152320,1.99,2.97,-9.22,0.15,-0.15,0.22,0
152417,1.63,2.39,-9.77,-0.08,0.02,0.13,0
152421,1.46,2.33,-9.63,-0.1,0.03,0.12,0
152426,1.45,2.19,-9.53,-0.1,0.04,0.12,0
152433,1.34,1.86,-9.67,-0.1,0.04,0.11,0
152438,1.19,1.94,-9.64,-0.11,0.04,0.11,0
152443,0.96,1.92,-9.62,-0.12,0.05,0.11,0
152447,0.87,2,-9.68,-0.12,0.04,0.11,0
152452,0.72,1.93,-9.86,-0.12,0.04,0.11,0
152458,0.72,1.85,-9.99,-0.13,0.05,0.1,0
152462,0.85,1.77,-10.01,-0.13,0.05,0.1,0
152467,0.81,1.67,-10.08,-0.14,0.05,0.09,0
152473,1.02,1.51,-10.25,-0.14,0.06,0.09,0
152477,1,1.24,-10.22,-0.14,0.06,0.09,0
152482,1.09,1,-10.22,-0.13,0.05,0.09,0
152487,1,0.88,-10.13,-0.12,0.05,0.09,0
152492,0.82,0.85,-10.11,-0.12,0.04,0.09,0
152498,0.74,0.78,-10.27,-0.11,0.05,0.09,0
152502,0.61,0.71,-10.14,-0.11,0.05,0.09,0
152507,0.54,0.73,-10.1,-0.11,0.05,0.09,0
152542,-0.04,0.11,-9.64,-0.05,0.01,0.08,0
152547,-0.14,-0.15,-9.57,-0.04,0.01,0.1,0
152552,0.08,-0.45,-9.39,-0.02,-0.01,0.09,0
152557,-0.27,-0.6,-9.35,0.01,-0.04,0.09,0
152561,-0.26,-0.51,-9.79,0.01,-0.04,0.09,0
152567,-0.2,-0.5,-9.5,0.02,-0.04,0.1,0
152572,-0.43,-0.52,-9.5,0.04,-0.04,0.09,0
152577,-0.5,-0.46,-9.82,0.06,-0.07,0.1,0
152581,-0.72,-0.6,-9.82,0.08,-0.07,0.1,0
152588,-0.39,-0.64,-10.07,0.1,-0.09,0.1,0
152592,-0.48,-0.47,-9.74,0.11,-0.09,0.1,0
152598,-0.57,0.1,-9.9,0.13,-0.11,0.09,0
152603,-0.69,-0.01,-10.16,0.14,-0.14,0.1,0
152607,-0.7,-0.32,-9.92,0.15,-0.13,0.09,0
152612,-0.29,-0.34,-9.73,0.16,-0.13,0.09,0
152617,-0.24,-0.76,-9.71,0.17,-0.15,0.1,0
152622,-0.32,-0.61,-9.68,0.21,-0.17,0.1,0
152627,-0.2,-0.29,-9.65,0.22,-0.18,0.09,0
152632,-0.58,-0.45,-9.63,0.23,-0.19,0.1,0
152637,-0.81,-0.61,-9.64,0.25,-0.22,0.1,0
152643,-0.4,0.14,-9.82,0.27,-0.23,0.09,0
152647,-0.17,0.12,-9.57,0.26,-0.21,0.09,0
152653,0.28,-0.16,-9.84,0.29,-0.21,0.07,0
152658,0.39,0.08,-10.03,0.3,-0.22,0.07,0
152662,0.38,0.29,-9.66,0.31,-0.24,0.08,0
152667,-0.02,0.64,-10.18,0.32,-0.26,0.1,0
152671,0.16,0.69,-10.42,0.32,-0.26,0.09,0
152676,0.31,0.64,-10.16,0.32,-0.24,0.08,0
152680,0.53,0.8,-10.36,0.33,-0.25,0.07,0
152685,0.67,1.01,-10.25,0.33,-0.25,0.07,0
152691,0.9,1.24,-10.31,0.33,-0.25,0.07,0
152696,0.96,1.49,-10.33,0.33,-0.25,0.07,0
152818,1.69,2.55,-9.55,0.17,-0.13,-0.03,0
152822,1.78,2.61,-9.65,0.16,-0.12,-0.03,0
152827,1.86,2.48,-9.55,0.15,-0.11,-0.04,0
152832,1.9,2.57,-9.49,0.13,-0.1,-0.04,0
152836,1.76,2.53,-9.48,0.12,-0.1,-0.04,0
152842,1.67,2.53,-9.59,0.12,-0.09,-0.04,0
152848,1.68,2.56,-9.63,0.1,-0.08,-0.05,0
152852,1.67,2.46,-9.68,0.09,-0.07,-0.05,0
152857,1.66,2.37,-9.65,0.08,-0.06,-0.06,0
152862,1.55,2.25,-9.7,0.08,-0.06,-0.06,0
152866,1.6,2.25,-9.73,0.07,-0.05,-0.06,0
152872,1.48,2.3,-9.78,0.06,-0.05,-0.06,0
152878,1.4,2.24,-9.93,0.05,-0.04,-0.06,0
152883,1.33,2.15,-9.95,0.04,-0.03,-0.07,0
152888,1.23,1.98,-10.03,0.04,-0.03,-0.07,0
152892,1.21,1.9,-10.1,0.03,-0.03,-0.07,0
152897,1.23,1.8,-9.97,0.03,-0.02,-0.08,0
152902,1.16,1.68,-9.99,0.03,-0.02,-0.08,0
152908,1.17,1.55,-9.95,0.03,-0.02,-0.07,0
152912,1.12,1.49,-10.06,0.02,-0.02,-0.07,0
152917,1.07,1.42,-10,0.02,-0.01,-0.08,0
152922,1.09,1.25,-9.9,0.02,-0.01,-0.08,0
152926,0.92,1.21,-9.94,0.03,-0.02,-0.08,0
152931,0.78,1.15,-9.95,0.03,-0.02,-0.08,0
152936,0.62,1.04,-9.9,0.04,-0.02,-0.07,0
152942,0.57,0.94,-10.01,0.04,-0.02,-0.08,0
152946,0.53,0.76,-9.8,0.05,-0.02,-0.07,0
152951,0.34,0.5,-9.89,0.05,-0.03,-0.07,0
152956,0.5,0.38,-10.06,0.06,-0.03,-0.07,0
152961,0.39,0.11,-9.78,0.07,-0.03,-0.07,0
152967,0.4,0.29,-10.09,0.08,-0.04,-0.07,0
152971,0.25,0.28,-9.93,0.08,-0.04,-0.06,0
152976,0.12,0.18,-10.08,0.1,-0.05,-0.05,0
152981,0.28,0.1,-10.01,0.11,-0.05,-0.05,0
152986,0.14,0.71,-9.91,0.11,-0.06,-0.05,0
152991,-0.29,0.48,-9.71,0.12,-0.08,-0.05,0
152996,-0.11,0.37,-10.11,0.13,-0.08,-0.05,0
153001,-0.04,0.08,-9.83,0.14,-0.07,-0.05,0
153006,0.02,-0.04,-9.85,0.16,-0.09,-0.05,0
153012,-0.11,0.14,-9.82,0.17,-0.11,-0.04,0
153019,-0.11,-0.06,-9.81,0.18,-0.11,-0.05,0
153024,-0.11,0.05,-9.76,0.19,-0.12,-0.05,0
153029,-0.21,0.06,-9.78,0.21,-0.13,-0.04,0
153035,0.06,0.32,-9.82,0.22,-0.14,-0.04,0
153039,0.14,0.47,-9.65,0.22,-0.14,-0.04,0
153044,0.05,0.54,-9.8,0.23,-0.15,-0.04,0
153048,-0.08,0.7,-10.05,0.24,-0.17,-0.04,0
153053,0.09,0.46,-9.65,0.25,-0.16,-0.04,0
153058,0.22,0.31,-9.8,0.25,-0.16,-0.04,0
153062,0.23,0.13,-10.41,0.26,-0.17,-0.04,0
153067,0.59,0.47,-9.59,0.27,-0.17,-0.04,0
153071,0.54,0.9,-9.9,0.28,-0.19,-0.04,0
153077,0.15,0.83,-9.9,0.29,-0.21,-0.03,0
153081,0.5,0.94,-9.89,0.29,-0.19,-0.04,0
153086,0.22,1.11,-9.99,0.28,-0.18,-0.04,0
153091,0.51,1.18,-9.96,0.29,-0.21,-0.03,0
153095,0.23,1.31,-9.92,0.3,-0.22,-0.03,0
153100,0.68,1.38,-10.14,0.29,-0.2,-0.04,0
153105,0.86,0.92,-9.79,0.29,-0.19,-0.04,0
153110,0.93,0.98,-10.03,0.3,-0.21,-0.04,0
153114,0.84,1.12,-9.93,0.31,-0.22,-0.04,0
153119,0.89,1.18,-10.07,0.31,-0.22,-0.04,0
153124,1.01,1.13,-9.89,0.31,-0.2,-0.04,0
153129,0.99,1.22,-9.94,0.31,-0.2,-0.04,0
153133,0.92,1.51,-9.89,0.31,-0.21,-0.04,0
153138,0.95,1.78,-9.98,0.3,-0.21,-0.04,0
153143,1,1.83,-10.07,0.3,-0.2,-0.04,0
153147,1.03,1.91,-9.89,0.29,-0.2,-0.04,0
153152,1.09,1.8,-9.91,0.3,-0.2,-0.05,0
153157,1.15,2.05,-10.02,0.3,-0.2,-0.05,0
153162,1.23,2.2,-9.93,0.28,-0.19,-0.05,0
153168,1.33,2.18,-10.03,0.27,-0.18,-0.05,0
153173,1.26,2.05,-9.93,0.27,-0.19,-0.05,0
153178,1.44,1.96,-10.07,0.27,-0.18,-0.05,0
153182,1.43,1.92,-9.93,0.27,-0.18,-0.06,0
153187,1.45,1.95,-9.87,0.26,-0.17,-0.06,0
153191,1.54,2.07,-9.94,0.26,-0.17,-0.06,0
153196,1.61,2.07,-9.79,0.25,-0.17,-0.06,0
153201,1.57,2.12,-9.76,0.24,-0.16,-0.06,0
153206,1.53,2.17,-9.75,0.23,-0.15,-0.06,0
153211,1.53,2.33,-9.61,0.22,-0.15,-0.07,0
153215,1.46,2.46,-9.71,0.21,-0.14,-0.07,0
153220,1.65,2.48,-9.54,0.2,-0.13,-0.08,0
153225,1.62,2.62,-9.55,0.2,-0.13,-0.08,0
153230,1.73,2.54,-9.54,0.18,-0.12,-0.08,0
153235,1.64,2.55,-9.55,0.18,-0.11,-0.08,0
153243,1.65,2.53,-9.53,0.16,-0.1,-0.09,0
153247,1.67,2.49,-9.64,0.15,-0.09,-0.09,0
153252,1.71,2.5,-9.69,0.15,-0.09,-0.09,0
153256,1.6,2.6,-9.69,0.13,-0.08,-0.09,0
153262,1.72,2.44,-9.63,0.12,-0.07,-0.09,0
153266,1.65,2.43,-9.66,0.11,-0.06,-0.09,0
153272,1.66,2.45,-9.79,0.1,-0.06,-0.1,0
153276,1.6,2.38,-9.72,0.09,-0.05,-0.1,0
153282,1.57,2.36,-9.73,0.09,-0.05,-0.1,0
153286,1.55,2.38,-9.74,0.08,-0.04,-0.1,0
153292,1.36,2.4,-9.65,0.07,-0.04,-0.1,0
153296,1.44,2.41,-9.73,0.06,-0.03,-0.1,0
153302,1.43,2.34,-9.66,0.05,-0.02,-0.1,0
153306,1.4,2.21,-9.65,0.04,-0.02,-0.1,0
153311,1.28,2.07,-9.65,0.04,-0.01,-0.11,0
153315,1.25,2.07,-9.66,0.03,-0.01,-0.11,0
153320,1.31,1.88,-9.72,0.02,0,-0.1,0
153324,1.28,1.71,-9.69,0.02,0,-0.1,0
153331,1.19,1.61,-9.85,0.02,0,-0.1,0
153337,1.2,1.51,-9.82,0.02,0,-0.1,0
153341,1.07,1.48,-9.71,0.02,0.01,-0.1,0
153347,0.99,1.32,-9.92,0.02,0,-0.1,0
153351,0.95,1.3,-9.95,0.02,0,-0.1,0
153356,0.79,1.45,-9.85,0.02,0,-0.1,0
153360,0.83,1.52,-10.1,0.02,0,-0.1,0
153365,0.95,1.12,-9.93,0.01,0.01,-0.1,0
153370,1.02,1.03,-9.94,0.02,0.02,-0.1,0
153375,0.91,0.93,-9.77,0.03,0,-0.09,0
153380,0.87,1,-9.97,0.04,-0.01,-0.09,0
153385,0.71,1.09,-10.02,0.03,0.01,-0.1,0
153390,0.81,0.88,-9.74,0.03,0.01,-0.1,0
153395,0.66,0.78,-9.96,0.04,0,-0.09,0
153400,0.72,0.82,-9.78,0.05,0,-0.09,0
153404,0.57,0.78,-9.86,0.05,0,-0.08,0
153409,0.58,0.65,-9.71,0.05,0,-0.09,0
153413,0.45,0.78,-9.71,0.06,0,-0.09,0
153428,0.45,0.65,-9.79,0.07,-0.01,-0.09,0
153433,0.43,0.76,-9.81,0.08,-0.02,-0.09,0
153485,0.8,0.91,-9.76,0.14,-0.05,-0.08,0
153489,0.81,0.85,-9.55,0.14,-0.04,-0.08,0
153496,0.72,0.82,-9.85,0.15,-0.05,-0.08,0
153502,0.62,1.17,-9.51,0.16,-0.06,-0.08,0
153506,0.2,1.48,-9.94,0.16,-0.07,-0.07,0
153512,0.36,1.23,-9.73,0.15,-0.06,-0.07,0
153516,0.56,1.29,-9.73,0.15,-0.05,-0.09,0
153522,0.78,1.04,-9.75,0.16,-0.06,-0.08,0
153526,0.58,1.14,-9.85,0.16,-0.06,-0.08,0
153532,0.55,1.27,-9.55,0.17,-0.08,-0.08,0
153536,0.23,1.13,-9.77,0.16,-0.08,-0.07,0
153542,0.52,1.14,-9.99,0.16,-0.07,-0.07,0
153546,0.91,1.41,-9.74,0.16,-0.07,-0.09,0
153552,0.62,1.56,-9.58,0.16,-0.09,-0.08,0
153556,0.6,1.55,-10.08,0.17,-0.1,-0.07,0
153564,1.07,1.73,-9.64,0.15,-0.06,-0.09,0
153569,0.89,1.77,-9.67,0.15,-0.07,-0.07,0
153574,1.08,1.85,-9.94,0.16,-0.1,-0.07,0
153579,1.17,2.01,-9.67,0.14,-0.07,-0.09,0
153584,1.23,2.09,-9.84,0.12,-0.05,-0.1,0
153589,1.23,1.83,-9.71,0.13,-0.07,-0.08,0
153594,1,1.79,-9.67,0.14,-0.08,-0.08,0
153599,0.95,1.9,-9.94,0.13,-0.07,-0.08,0
153604,0.98,1.74,-9.39,0.12,-0.06,-0.09,0
153609,0.99,1.82,-9.6,0.12,-0.07,-0.09,0
153614,0.96,2.12,-10.34,0.11,-0.07,-0.09,0
153618,1.06,1.8,-9.52,0.1,-0.05,-0.09,0
153623,1.24,2.08,-9.62,0.1,-0.05,-0.1,0
153628,1.23,2.11,-9.74,0.1,-0.06,-0.09,0
153633,1.45,2.04,-9.52,0.09,-0.05,-0.1,0
153637,1.56,2.1,-9.78,0.08,-0.04,-0.1,0
153642,1.53,2.08,-9.41,0.08,-0.04,-0.1,0
153646,1.67,2.35,-9.68,0.07,-0.03,-0.1,0
153651,1.5,2.32,-9.79,0.05,-0.03,-0.09,0
153655,1.39,2.19,-9.32,0.06,-0.03,-0.1,0
153660,1.43,2.31,-9.68,0.05,-0.02,-0.1,0
153665,1.36,2.34,-9.64,0.04,-0.01,-0.1,0
153669,1.49,2.23,-9.53,0.03,-0.01,-0.1,0
153674,1.48,2.33,-9.68,0.02,0,-0.11,0
