a_x a_y a_z f
-0.10 1.27 1.27 0
428712 -0.29 1.17 1.76 0
428716 -0.34 0.83 2.15 0
428721 -0.34 0.83 2.15 0
428725 -0.34 0.83 2.15 0
428729 -0.34 0.83 2.15 0
428734 -0.34 0.83 1.61 0
428738 -0.34 0.98 1.61 0
428742 -0.34 0.98 1.61 0
428746 -0.34 0.98 1.61 0
428751 -0.34 0.98 1.61 0
428755 -0.29 0.93 1.81 0
428759 -0.29 0.93 1.81 0
428764 -0.29 0.93 1.81 0
428768 -0.29 0.93 1.81 0
428772 -0.29 0.93 1.91 0
428777 -0.39 0.78 1.91 0
428781 -0.39 0.78 1.91 0
428785 -0.39 0.78 1.91 0
428790 -0.39 0.78 1.91 0
428794 -0.20 0.59 2.00 0
428798 -0.20 0.59 2.00 0
428803 -0.20 0.59 2.00 0
428807 -0.20 0.59 2.00 0
428811 -0.20 0.68 1.86 0
428816 -0.20 0.68 1.86 0
428820 -0.20 0.68 1.86 0
428824 -0.20 0.68 1.86 0
428829 -0.20 0.68 1.76 0
428833 -0.29 0.88 1.76 0
428837 -0.29 0.88 1.76 0
428842 -0.29 0.88 1.76 0
428846 -0.29 0.88 1.76 0
428851 -0.20 0.64 1.91 0
428856 -0.20 0.64 1.91 0
428860 -0.20 0.64 1.91 0
428864 -0.20 0.64 1.91 0
428869 -0.34 0.78 1.81 0
428873 -0.34 0.78 1.81 0
428877 -0.34 0.78 1.81 0
428882 -0.34 0.78 1.81 0
428886 -0.34 0.00 1.76 0
428890 -0.29 0.73 1.76 0
428895 -0.29 0.73 1.76 0
428899 -0.29 0.73 1.76 0
428903 -0.29 0.73 1.76 0
428907 -0.39 0.88 1.61 0
428912 -0.39 0.88 1.61 0
428916 -0.39 0.88 1.61 0
428920 -0.39 0.88 1.61 0
428924 -0.39 0.98 1.91 0
428929 -0.44 0.98 1.91 0
428933 -0.44 0.98 1.91 0
428937 -0.44 0.98 1.91 0
428942 -0.44 0.98 1.91 0
428946 -0.39 0.78 1.86 0
428950 -0.39 0.78 1.86 0
428955 -0.39 0.78 1.86 0
428959 -0.39 0.78 1.86 0
428963 -0.24 0.68 1.95 0
428968 -0.24 0.68 1.95 0
428972 -0.24 0.68 1.95 0
428976 -0.24 0.68 1.95 0
428981 -0.24 0.68 1.81 0
428985 -0.39 0.59 1.81 0
428989 -0.39 0.59 1.81 0
428993 -0.39 0.59 1.81 0
428998 -0.39 0.59 1.81 0
429002 -0.44 0.59 1.95 0
429007 -0.44 0.59 1.95 0
429011 -0.44 0.59 1.95 0
429015 -0.44 0.59 1.95 0
429019 -0.44 0.98 2.00 0
429025 -0.49 0.98 2.00 0
429029 -0.49 0.98 2.00 0
429034 -0.49 0.98 2.00 0
429038 -0.49 0.98 1.71 0
429042 -0.34 0.93 1.71 0
429047 -0.34 0.93 1.71 0
429059 -0.54 0.88 1.61 0
429063 -0.54 0.88 1.61 0
429068 -0.54 0.88 1.61 0
429072 -0.54 0.88 1.61 0
429076 -0.54 0.98 1.66 0
429081 -0.59 0.98 1.66 0
429085 -0.59 0.98 1.66 0
429089 -0.59 0.98 1.66 0
429094 -0.59 0.98 1.66 0
429098 -0.64 1.07 1.76 0
429102 -0.64 1.07 1.76 0
429107 -0.64 1.07 1.76 0
429111 -0.64 1.07 1.76 0
429115 -0.59 0.93 1.56 0
429120 -0.59 0.93 1.56 0
429124 -0.59 0.93 1.56 0
429128 -0.59 0.93 1.56 0
429135 -0.68 0.88 1.32 0
429140 -0.68 0.88 1.32 0
429144 -0.68 0.88 1.32 0
429149 -0.68 0.88 1.32 0
429153 -0.44 1.17 1.32 0
429157 -0.44 1.17 1.32 0
429162 -0.44 1.17 1.32 0
429166 -0.44 1.17 1.32 0
429170 -0.44 1.17 1.32 0
429174 -0.59 0.93 1.32 0
429178 -0.59 0.93 1.32 0
429183 -0.59 0.93 1.32 0
429187 -0.59 0.93 1.32 0
429191 -0.54 0.68 1.22 0
429195 -0.54 0.68 1.22 0
429200 -0.54 0.68 1.22 0
429204 -0.54 0.68 1.22 0
429217 -0.54 0.68 1.56 0
429228 -0.54 0.68 1.22 0
429232 -0.39 0.68 1.22 0
429236 -0.39 0.68 1.22 0
429241 -0.39 0.68 1.22 0
429245 -0.39 0.68 1.22 0
429249 -0.49 0.88 0.93 0
429254 -0.49 0.88 0.93 0
429258 -0.49 0.88 0.93 0
429262 -0.49 0.88 0.93 0
429267 -0.44 0.88 0.88 0
429271 -0.44 0.88 0.88 0
429275 -0.44 0.88 0.88 0
429279 -0.44 0.88 0.88 0
429284 -0.44 0.88 1.03 0
429288 -0.49 0.88 1.03 0
429292 -0.49 0.88 1.03 0
429297 -0.49 0.88 1.03 0
429301 -0.49 0.88 1.03 0
429305 -0.54 0.88 1.07 0
429309 -0.54 0.88 1.07 0
429345 -0.44 0.98 0.98 0
429350 -0.44 0.98 0.98 0
429354 -0.44 0.98 0.98 0
429358 -0.44 0.98 0.98 0
429363 -0.34 1.17 0.78 0
429367 -0.34 1.17 0.78 0
429371 -0.34 1.17 0.78 0
429375 -0.34 1.17 0.78 0
429380 -0.34 1.17 1.27 0
429384 -0.24 1.03 1.27 0
429388 -0.24 1.03 1.27 0
429392 -0.24 1.03 1.27 0
429397 -0.24 1.03 1.27 0
429401 -0.20 1.03 0.98 0
429405 -0.20 1.03 0.98 0
429410 -0.20 1.03 0.98 0
429414 -0.20 1.03 0.98 0
429418 -0.29 0.83 0.98 0
429423 -0.29 0.83 0.98 0
429427 -0.29 0.83 0.98 0
429431 -0.29 0.83 0.98 0
429436 -0.29 0.83 1.12 0
429440 -0.39 0.78 1.12 0
429445 -0.39 0.78 1.12 0
429449 -0.39 0.78 1.12 0
429453 -0.39 0.78 1.12 0
429458 -0.39 0.78 1.12 0
429462 -0.39 0.78 1.12 0
429466 -0.39 0.78 1.12 0
429471 -0.39 0.78 1.12 0
429475 -0.39 0.93 1.03 0
429479 -0.34 0.93 1.03 0
