a_x a_y a_z g_x g_y g_z
".02,-0.01,0.01"
"411699,1.05,1.65,-9.70,0.02,-0.02,-0.00"
"411706,1.16,1.58,-9.77,0.02,-0.02,-0.00"
"411710,1.04,1.59,-9.74,0.02,-0.02,-0.00"
"411714,1.13,1.58,-9.77,0.02,-0.02,-0.00"
"411719,1.09,1.59,-9.77,0.02,-0.02,-0.00"
"411724,1.01,1.56,-9.77,0.02,-0.01,-0.00"
"411729,1.08,1.54,-9.73,0.02,-0.02,-0.00"
"411735,1.11,1.59,-9.71,0.02,-0.02,-0.00"
"411740,1.05,1.57,-9.72,0.02,-0.02,-0.00"
"411746,1.08,1.57,-9.71,0.02,-0.01,-0.00"
"411753,1.09,1.54,-9.71,0.02,-0.02,-0.00"
"411758,1.11,1.56,-9.71,0.02,-0.02,-0.00"
"411764,1.07,1.51,-9.73,0.02,-0.02,-0.00"
"411769,1.05,1.56,-9.81,0.02,-0.02,-0.00"
"411774,1.10,1.58,-9.79,0.02,-0.02,-0.00"
"411779,1.05,1.59,-9.72,0.02,-0.01,-0.00"
"411784,1.00,1.62,-9.75,0.02,-0.02,-0.00"
"411789,1.03,1.56,-9.79,0.02,-0.02,-0.00"
"411794,1.06,1.58,-9.72,0.02,-0.02,-0.00"
"411798,1.04,1.59,-9.73,0.02,-0.02,-0.00"
"411805,1.07,1.59,-9.68,0.02,-0.02,-0.00"
"411810,1.12,1.67,-9.67,0.02,-0.02,-0.00"
"411814,1.01,1.57,-9.71,0.02,-0.01,-0.00"
"411819,1.06,1.48,-9.76,0.02,-0.02,-0.00"
"411824,1.12,1.54,-9.75,0.02,-0.02,-0.00"
"411829,1.12,1.63,-9.72,0.02,-0.02,-0.00"
"411833,1.08,1.52,-9.76,0.02,-0.01,-0.00"
"411838,1.10,1.53,-9.71,0.02,-0.01,-0.00"
"411842,1.14,1.54,-9.79,0.02,-0.02,-0.00"
"411847,1.10,1.64,-9.73,0.02,-0.01,-0.00"
"411852,1.09,1.55,-9.71,0.02,-0.02,-0.00"
"411856,1.07,1.60,-9.74,0.02,-0.01,-0.00"
"411861,1.08,1.60,-9.72,0.02,-0.01,-0.00"
"411865,1.09,1.55,-9.79,0.02,-0.01,-0.00"
"411870,1.08,1.59,-9.67,0.02,-0.01,-0.00"
"411875,1.12,1.55,-9.77,0.02,-0.01,-0.00"
"411887,1.12,1.59,-9.78,0.02,-0.01,-0.00"
