"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"344666,1.22,1.17,-9.83,0.03,-0.01,-0.01"
"344670,1.26,1.18,-9.88,0.03,-0.01,-0.00"
"344674,1.28,1.15,-9.86,0.03,-0.01,-0.00"
"344679,1.22,1.22,-9.78,0.03,-0.01,-0.00"
"344683,1.25,1.21,-9.81,0.03,-0.01,-0.00"
"344686,1.21,1.08,-9.81,0.03,-0.01,-0.00"
"344690,1.28,1.19,-9.80,0.03,-0.01,-0.00"
"344694,1.23,1.13,-9.73,0.03,-0.01,-0.00"
"344698,1.30,1.17,-9.75,0.03,-0.01,-0.00"
"344702,1.21,1.19,-9.75,0.03,-0.01,-0.00"
"344706,1.28,1.09,-9.85,0.03,-0.01,-0.00"
"344710,1.20,1.12,-9.75,0.03,-0.01,-0.00"
"344713,1.18,1.18,-9.79,0.03,-0.01,-0.00"
"344717,1.29,1.16,-9.78,0.04,-0.01,-0.00"
"344721,1.23,1.21,-9.74,0.03,-0.01,-0.00"
"344726,1.26,1.12,-9.85,0.03,-0.01,-0.00"
"344734,1.25,1.16,-9.88,0.03,-0.01,-0.00"
"344738,1.25,1.23,-9.83,0.03,-0.01,-0.00"
"344742,1.23,1.20,-9.76,0.03,-0.01,-0.00"
"344746,1.20,1.16,-9.78,0.03,-0.01,-0.00"
"344750,1.18,1.17,-9.78,0.03,-0.01,-0.00"
"344815,1.25,1.22,-9.72,0.03,-0.01,0.00"
"344819,1.25,1.22,-9.74,0.04,-0.01,0.00"
"344822,1.18,1.23,-9.71,0.03,-0.01,0.00"
"344829,1.21,1.23,-9.74,0.03,-0.01,-0.00"
"344832,1.23,1.15,-9.78,0.03,-0.01,0.00"
"344836,1.21,1.19,-9.72,0.03,-0.01,0.00"
"344841,1.32,1.21,-9.76,0.03,-0.01,0.00"
"344844,1.24,1.11,-9.79,0.03,-0.01,-0.00"
"344853,1.15,1.16,-9.73,0.03,-0.01,0.00"
"344856,1.21,1.23,-9.78,0.03,-0.01,0.00"
"344865,1.22,1.16,-9.75,0.03,-0.01,0.00"
"344869,1.20,1.21,-9.71,0.03,-0.01,0.00"
"344873,1.21,1.19,-9.84,0.03,-0.01,0.00"
"344877,1.28,1.20,-9.77,0.03,-0.00,0.00"
"344880,1.18,1.19,-9.80,0.03,-0.01,0.00"
"344884,1.28,1.11,-9.80,0.03,-0.01,0.00"
"344888,1.21,1.19,-9.78,0.03,-0.00,0.00"
"344891,1.21,1.18,-9.79,0.03,-0.01,0.00"
"344895,1.19,1.20,-9.85,0.03,-0.00,0.00"
"344899,1.25,1.10,-9.74,0.03,-0.01,0.00"
"344902,1.21,1.17,-9.73,0.03,-0.01,0.00"
"345036,1.20,1.15,-9.80,0.03,-0.00,0.00"
"345041,1.20,1.18,-9.78,0.03,-0.00,0.01"
"345044,1.19,1.18,-9.75,0.03,-0.00,0.01"
"345048,1.29,1.23,-9.84,0.03,-0.00,0.01"
"345052,1.20,1.12,-9.84,0.03,-0.00,0.01"
"345056,1.23,1.16,-9.76,0.03,-0.00,0.01"
"345059,1.27,1.23,-9.76,0.03,-0.01,0.01"
"345063,1.25,1.24,-9.74,0.03,-0.00,0.01"
"345136,1.22,1.19,-9.75,0.03,-0.00,0.01"
"345140,1.25,1.13,-9.82,0.03,-0.00,0.01"
"345144,1.15,1.17,-9.83,0.03,-0.00,0.01"
"345150,1.23,1.20,-9.80,0.03,0.00,0.01"
"345154,1.16,1.23,-9.80,0.03,-0.00,0.01"
"345157,1.22,1.14,-9.81,0.03,-0.00,0.01"
"345161,1.26,1.19,-9.84,0.03,0.00,0.01"
"345165,1.19,1.19,-9.77,0.03,-0.00,0.01"
"345168,1.23,1.27,-9.71,0.03,-0.00,0.01"
"345172,1.25,1.18,-9.87,0.03,-0.00,0.01"
"345177,1.28,1.20,-9.78,0.03,-0.00,0.01"
"345180,1.23,1.24,-9.83,0.03,-0.00,0.01"
"345214,1.23,1.16,-9.72,0.03,0.00,0.01"
"345217,1.19,1.11,-9.84,0.03,-0.00,0.01"
"345221,1.23,1.17,-9.85,0.03,-0.00,0.01"
"345225,1.22,1.15,-9.83,0.03,0.00,0.01"
"345228,1.15,1.22,-9.83,0.03,0.00,0.01"
"345232,1.14,1.16,-9.84,0.03,-0.00,0.01"
"345236,1.14,1.29,-9.80,0.03,-0.00,0.01"
"345290,1.21,1.25,-9.69,0.03,-0.00,0.01"
"345294,1.25,1.21,-9.80,0.02,0.00,0.02"
"345297,1.21,1.12,-9.79,0.02,0.00,0.02"
"345301,1.25,1.23,-9.80,0.03,-0.00,0.02"
"345305,1.24,1.23,-9.72,0.03,-0.00,0.02"
"345309,1.20,1.22,-9.73,0.02,0.00,0.02"
"345313,1.21,1.22,-9.80,0.03,-0.00,0.02"
"345317,1.14,1.15,-9.80,0.02,-0.00,0.02"
"345321,1.17,1.20,-9.76,0.02,-0.00,0.02"
"345324,1.23,1.18,-9.81,0.02,-0.00,0.02"
"345328,1.23,1.21,-9.79,0.02,0.00,0.02"
"345346,1.23,1.23,-9.71,0.02,0.00,0.02"
"345349,1.25,1.18,-9.83,0.02,0.00,0.02"
"345354,1.16,1.23,-9.78,0.03,-0.00,0.02"
"345358,1.28,1.19,-9.76,0.02,0.00,0.02"
"345408,1.28,1.22,-9.72,0.02,0.00,0.02"
"345412,1.23,1.16,-9.79,0.02,0.00,0.02"
"345416,1.18,1.28,-9.83,0.02,0.00,0.02"
"345419,1.22,1.21,-9.82,0.02,0.00,0.02"
"345423,1.24,1.20,-9.83,0.02,0.00,0.02"
"345427,1.19,1.18,-9.77,0.02,0.00,0.02"
"345445,1.16,1.18,-9.80,0.02,-0.00,0.02"
"345449,1.23,1.15,-9.72,0.02,-0.00,0.02"
"345493,1.26,1.17,-9.77,0.02,-0.00,0.02"
"345496,1.20,1.17,-9.76,0.02,0.00,0.02"
"345500,1.22,1.23,-9.79,0.02,0.00,0.02"
"345505,1.27,1.16,-9.79,0.02,-0.00,0.02"
"345509,1.18,1.25,-9.86,0.02,0.00,0.02"
"345514,1.20,1.22,-9.73,0.02,0.00,0.02"
"345517,1.15,1.20,-9.77,0.02,0.00,0.02"
"345521,1.15,1.16,-9.74,0.02,-0.00,0.02"
"345525,1.21,1.21,-9.83,0.02,-0.00,0.02"
"345529,1.23,1.15,-9.74,0.02,0.00,0.02"
"345532,1.26,1.23,-9.77,0.02,0.00,0.02"
"345536,1.22,1.21,-9.79,0.02,0.00,0.02"
"345539,1.26,1.16,-9.76,0.02,0.00,0.02"
"345543,1.21,1.20,-9.77,0.02,0.00,0.02"
"345554,1.20,1.23,-9.72,0.02,0.00,0.02"
"345558,1.23,1.18,-9.73,0.02,0.00,0.02"
"345612,1.20,1.23,-9.79,0.01,0.00,0.02"
"345616,1.10,1.23,-9.81,0.01,-0.00,0.02"
"345620,1.21,1.23,-9.79,0.01,-0.00,0.02"
"345625,1.19,1.20,-9.78,0.01,0.00,0.02"
"345629,1.18,1.23,-9.82,0.01,0.00,0.02"
"345632,1.17,1.23,-9.86,0.01,0.00,0.02"
"345636,1.17,1.23,-9.78,0.01,0.00,0.02"
"345642,1.22,1.20,-9.79,0.01,0.00,0.02"
"345646,1.25,1.17,-9.80,0.01,-0.00,0.02"
"345652,1.27,1.23,-9.74,0.01,-0.00,0.02"
"345656,1.22,1.22,-9.77,0.01,0.00,0.02"
"345661,1.22,1.21,-9.83,0.01,-0.00,0.02"
"345665,1.22,1.26,-9.78,0.01,-0.00,0.02"
"345668,1.18,1.18,-9.78,0.01,0.00,0.02"
"345672,1.18,1.23,-9.72,0.01,-0.00,0.02"
"345676,1.17,1.21,-9.76,0.01,0.00,0.02"
"345682,1.26,1.30,-9.87,0.01,0.00,0.02"
"345686,1.23,1.24,-9.73,0.01,-0.00,0.02"
"345690,1.19,1.18,-9.79,0.01,0.00,0.02"
"345694,1.28,1.18,-9.76,0.01,-0.00,0.02"
"345698,1.22,1.20,-9.83,0.01,-0.00,0.02"
"345701,1.24,1.24,-9.75,0.01,-0.00,0.02"
"345706,1.20,1.14,-9.74,0.01,0.00,0.02"
"345710,1.23,1.21,-9.80,0.01,-0.00,0.02"
