millis a_x a_y a_z f
340881 -1.03 1.07 1.27 0
340885 -1.03 1.07 1.27 0
340889 -1.03 1.07 1.27 0
340892 -1.03 1.07 1.27 0
340896 -1.03 1.07 1.27 0
340900 -1.03 1.07 1.27 0
340905 -1.03 1.07 1.27 0
340908 -1.03 1.07 1.27 0
340912 -1.03 1.07 1.27 0
340916 -1.03 1.07 1.27 0
340920 -1.03 1.07 1.27 0
340924 -1.03 1.07 1.27 0
340928 -1.03 1.07 1.27 0
340932 -1.03 1.07 1.27 0
340936 -1.03 1.07 1.27 0
340940 -1.03 1.07 1.27 0
340944 -1.03 1.07 1.27 0
340948 -1.03 1.07 1.27 0
340952 -1.03 1.07 1.27 0
340956 -1.03 1.07 1.27 0
340960 -1.03 1.07 1.27 0
340964 -1.03 1.07 1.27 0
340968 -1.03 1.07 1.27 0
340972 -1.03 1.07 1.27 0
340976 -1.03 1.07 1.27 0
340980 -1.03 1.07 1.27 0
340984 -1.03 1.07 1.27 0
340988 -1.03 1.07 1.27 0
340992 -1.03 1.07 1.27 0
340996 -1.03 1.07 1.27 0
340999 -1.03 1.07 1.27 0
341003 -1.03 1.07 1.27 0
341007 -1.03 1.07 1.27 0
341011 -1.03 1.07 1.27 0
341015 -0.83 0.59 1.17 0
341019 -0.83 0.59 1.17 0
341023 -0.83 0.59 1.17 0
341027 -0.83 0.59 1.17 0
341031 -0.83 0.59 1.17 0
341035 -0.83 0.59 1.17 0
341038 -0.83 0.59 1.17 0
341042 -0.83 0.59 1.17 0
341046 -0.83 0.59 1.17 0
341050 -0.83 0.59 1.17 0
341054 -0.83 0.59 1.17 0
341058 -0.83 0.59 1.17 0
341062 -0.83 0.59 1.17 0
341066 -0.83 0.59 1.17 0
341070 -0.83 0.59 1.17 0
341074 -0.83 0.59 1.17 0
341078 -0.83 0.59 1.17 0
341081 -0.83 0.59 1.17 0
341085 -0.83 0.59 1.17 0
341089 -0.83 0.59 1.17 0
341093 -0.83 0.59 1.17 0
341097 -0.83 0.59 1.17 0
341101 -0.83 0.59 1.17 0
341105 -0.83 0.59 1.17 0
341109 -0.83 0.59 1.17 0
341113 -0.83 0.59 1.17 0
341116 -0.83 0.59 1.17 0
341120 -0.83 0.59 1.17 0
341124 -0.83 0.59 1.17 0
341128 -0.83 0.59 1.17 0
341132 -0.83 0.59 1.17 0
341136 -0.83 0.59 1.17 0
341140 -0.83 0.59 1.17 0
341144 -0.83 0.59 1.17 0
341148 -0.83 0.59 1.17 0
341152 -0.83 0.59 1.17 0
341155 -0.83 0.59 1.17 0
341159 -0.83 0.59 1.17 0
341163 -0.83 0.59 1.17 0
341167 -0.83 0.59 1.17 0
341171 -0.83 0.59 1.17 0
341175 -0.83 0.59 1.17 0
341178 -0.83 0.59 1.17 0
341182 -0.83 0.59 1.17 0
341194 -0.83 0.59 1.17 0
341198 -0.83 0.59 1.17 0
341202 -0.83 0.59 1.17 0
341207 -0.83 0.59 1.17 0
341211 -0.83 0.59 1.17 0
341214 -0.83 0.59 1.17 0
341218 -0.83 0.59 1.17 0
341222 -0.83 0.59 1.17 0
341226 -0.83 0.59 1.17 0
341230 -0.83 0.59 1.17 0
341234 -0.83 0.59 1.17 0
341238 -0.83 0.59 1.17 0
341242 -0.83 0.59 1.17 0
341246 -0.83 0.59 1.17 0
341250 -0.83 0.59 1.17 0
341254 -0.83 0.59 1.17 0
341258 -0.83 0.59 1.17 0
341262 -0.83 0.59 1.17 0
341266 -0.83 0.59 1.17 0
341270 -0.83 0.59 1.17 0
341273 -0.83 0.59 1.17 0
341277 -0.83 0.59 1.17 0
341281 -0.83 0.59 1.17 0
341285 -0.83 0.59 1.17 0
341373 -0.83 0.59 1.17 0
341377 -0.83 0.59 1.17 0
341381 -0.83 0.59 1.17 0
341385 -0.83 0.59 1.17 0
341389 -0.83 0.59 1.17 0
341392 -0.83 0.59 1.17 0
341396 -0.83 0.59 1.17 0
341400 -0.83 0.59 1.17 0
341404 -0.83 0.59 1.17 0
341408 -0.83 0.59 1.17 0
341411 -0.83 0.59 1.17 0
341573 -0.83 0.59 1.17 0
341577 -0.83 0.59 1.17 0
341581 -0.83 0.59 1.17 0
341585 -0.83 0.59 1.17 0
341588 -0.83 0.59 1.17 0
341592 -0.83 0.59 1.17 0
341596 -0.83 0.59 1.17 0
341600 -0.83 0.59 1.17 0
341604 -0.83 0.59 1.17 0
341608 -0.83 0.59 1.17 0
341612 -0.83 0.59 1.17 0
341616 -0.83 0.59 1.17 0
341619 -0.83 0.59 1.17 0
341623 -0.83 0.59 1.17 0
341627 -0.83 0.59 1.17 0
341631 -0.83 0.59 1.17 0
341635 -0.83 0.59 1.17 0
341639 -0.83 0.59 1.17 0
341643 -0.83 0.59 1.17 0
341650 -0.83 0.59 1.17 0
341654 -0.83 0.59 1.17 0
341658 -0.83 0.59 1.17 0
341662 -0.83 0.59 1.17 0
341666 -0.83 0.59 1.17 0
341670 -0.83 0.59 1.17 0
341674 -0.83 0.59 1.17 0
341678 -0.83 0.59 1.17 0
341682 -0.83 0.59 1.17 0
341685 -0.83 0.59 1.17 0
341689 -0.83 0.59 1.17 0
341693 -0.83 0.59 1.17 0
341697 -0.83 0.59 1.17 0
341701 -0.83 0.59 1.17 0
341705 -0.83 0.59 1.17 0
341709 -0.83 0.59 1.17 0
341714 -0.83 0.59 1.17 0
341718 -0.83 0.59 1.17 0
341726 -0.83 0.59 1.17 0
