"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"74785,0.05,1.27,-9.88,-0.01,-0.00,-0.00"
"74789,0.11,1.28,-9.77,-0.01,-0.00,-0.00"
"74795,0.17,1.31,-9.83,-0.01,-0.00,-0.00"
"74799,0.11,1.30,-9.78,-0.01,-0.00,-0.00"
"74805,0.03,1.27,-9.75,-0.01,-0.00,-0.00"
"74812,0.08,1.34,-9.81,-0.01,-0.00,-0.00"
"74818,0.11,1.20,-9.78,-0.01,-0.00,-0.00"
"74822,0.08,1.29,-9.77,-0.01,-0.00,-0.00"
"74827,0.05,1.24,-9.78,-0.01,-0.00,-0.00"
"74831,0.06,1.26,-9.78,-0.00,-0.00,-0.00"
"74836,0.13,1.23,-9.83,-0.00,-0.00,-0.00"
"74840,0.24,1.27,-9.77,-0.01,-0.00,0.00"
"74844,0.11,1.28,-9.81,-0.01,-0.00,-0.00"
"74851,0.11,1.28,-9.81,-0.00,-0.00,-0.00"
"74855,0.07,1.25,-9.86,-0.00,-0.00,-0.00"
"74861,0.04,1.38,-9.71,-0.00,-0.00,-0.00"
"74865,0.11,1.34,-9.78,-0.00,-0.00,-0.00"
"74870,0.12,1.27,-9.78,-0.00,-0.00,-0.00"
"74876,0.18,1.27,-9.71,-0.00,-0.00,-0.00"
"74881,0.19,1.23,-9.74,-0.00,-0.00,-0.00"
"74886,0.05,1.26,-9.77,-0.00,-0.00,-0.00"
"74890,0.11,1.36,-9.79,-0.00,-0.00,0.00"
"74894,0.12,1.25,-9.75,-0.00,-0.00,-0.00"
"74898,0.02,1.31,-9.74,-0.00,-0.00,-0.00"
"74902,0.11,1.29,-9.82,-0.00,-0.00,-0.00"
"74907,0.11,1.29,-9.79,0.00,-0.00,-0.00"
"74911,0.19,1.27,-9.78,-0.00,-0.00,-0.00"
"74915,0.07,1.34,-9.76,0.00,-0.00,-0.00"
"74921,0.06,1.30,-9.80,0.00,-0.00,-0.00"
"74926,0.12,1.28,-9.77,0.00,-0.01,-0.00"
"74932,0.05,1.24,-9.78,0.00,-0.00,0.00"
"74936,0.05,1.26,-9.76,-0.00,-0.00,-0.00"
"74940,0.05,1.27,-9.75,0.00,-0.00,-0.00"
"74944,0.10,1.33,-9.79,0.00,-0.00,-0.00"
"74948,0.17,1.32,-9.78,0.00,-0.01,-0.00"
"74952,-0.01,1.29,-9.78,0.00,-0.00,-0.00"
"74958,0.08,1.31,-9.82,0.00,-0.01,-0.00"
"74961,0.18,1.29,-9.74,0.00,-0.01,-0.00"
"74965,0.05,1.21,-9.79,0.00,-0.00,-0.00"
"74969,0.06,1.33,-9.82,0.00,-0.01,-0.00"
"74973,0.13,1.27,-9.76,0.00,-0.00,-0.00"
"74977,0.05,1.28,-9.82,0.00,-0.01,-0.00"
"74980,0.06,1.24,-9.83,0.00,-0.00,-0.00"
"74984,0.11,1.33,-9.83,0.00,-0.01,-0.00"
"74988,0.10,1.28,-9.71,0.00,-0.01,-0.00"
"74992,0.01,1.30,-9.77,0.01,-0.01,0.00"
"74996,0.10,1.27,-9.74,0.01,-0.01,-0.00"
"74999,0.07,1.27,-9.79,0.01,-0.00,-0.00"
"75004,0.13,1.30,-9.78,0.01,-0.01,-0.00"
"75008,0.09,1.23,-9.74,0.01,-0.01,-0.00"
"75012,0.11,1.29,-9.75,0.01,-0.01,-0.00"
"75015,0.07,1.37,-9.73,0.01,-0.00,-0.00"
"75019,0.11,1.40,-9.80,0.01,-0.01,-0.00"
"75023,0.08,1.23,-9.79,0.01,-0.01,-0.00"
"75061,0.13,1.27,-9.78,0.01,-0.01,-0.00"
"75066,0.04,1.32,-9.80,0.01,-0.01,0.00"
"75084,0.11,1.34,-9.82,0.01,-0.01,-0.00"
"75093,0.14,1.28,-9.76,0.01,-0.01,-0.00"
"75099,0.11,1.35,-9.73,0.01,-0.01,0.00"
"75103,0.09,1.23,-9.82,0.01,-0.01,0.00"
"75107,0.14,1.31,-9.85,0.01,-0.01,-0.00"
"75114,0.13,1.28,-9.80,0.01,-0.01,0.00"
