millis, a_x, a_y, a_z, g_x, g_y, g_z
500612,0.91,1.37,-9.79,0.02,0,0.01
500616,0.79,1.36,-9.69,0.02,0,0.01
500621,0.81,1.34,-9.73,0.02,0,0.01
500647,0.81,1.36,-9.82,0.02,0,0.01
500651,0.87,1.41,-9.77,0.02,0,0.01
500810,0.88,1.33,-9.71,0.02,0,0.01
500814,0.9,1.4,-9.71,0.02,0,0.01
500819,0.91,1.34,-9.7,0.02,0,0.01
500823,0.81,1.39,-9.74,0.02,0,0.01
500827,0.86,1.43,-9.85,0.02,0,0.01
500837,0.84,1.39,-9.74,0.02,0,0.01
500841,0.91,1.47,-9.84,0.02,0,0.01
500846,0.85,1.47,-9.78,0.02,0,0.01
500909,0.85,1.37,-9.81,0.02,0,0.01
500913,0.91,1.39,-9.72,0.02,0,0.01
500918,0.86,1.43,-9.76,0.02,0,0.01
500922,0.85,1.37,-9.81,0.02,0,0.01
500926,0.86,1.35,-9.78,0.02,0,0.01
500931,0.84,1.39,-9.76,0.02,0,0.01
500936,0.83,1.35,-9.75,0.02,0,0.01
500940,0.73,1.32,-9.73,0.02,0,0.01
500945,0.79,1.4,-9.79,0.02,0,0.01
500949,0.91,1.42,-9.83,0.02,0,0.01
500953,0.85,1.36,-9.73,0.02,0,0.01
500962,0.81,1.44,-9.8,0.02,0,0.01
500966,0.86,1.36,-9.71,0.02,0,0.01
501149,0.86,1.4,-9.79,0.02,0,0.01
501154,0.94,1.39,-9.8,0.02,0,0.01
501158,0.91,1.41,-9.8,0.02,0,0.01
501162,0.78,1.36,-9.77,0.02,0,0.01
501167,0.84,1.41,-9.74,0.02,0,0.01
501177,0.88,1.36,-9.81,0.02,0,0.01
501181,0.86,1.45,-9.78,0.01,0,0.01
501353,0.87,1.36,-9.77,0.01,0,0.01
501357,0.82,1.41,-9.77,0.01,0,0.01
501362,0.84,1.41,-9.74,0.01,0,0.01
501366,0.83,1.4,-9.78,0.01,-0.01,0.01
501371,0.78,1.43,-9.74,0.01,-0.01,0.01
501375,0.78,1.42,-9.82,0.01,-0.01,0.01
501379,0.85,1.35,-9.8,0.01,-0.01,0.01
501406,0.85,1.36,-9.82,0.01,-0.01,0.01
501410,0.81,1.35,-9.76,0.01,-0.01,0.01
501575,0.83,1.36,-9.82,0.01,-0.01,0.01
501579,0.8,1.32,-9.84,0.01,-0.01,0.01
501584,0.89,1.35,-9.71,0.01,-0.01,0.01
501588,0.92,1.38,-9.75,0.01,-0.01,0.01
501592,0.78,1.38,-9.73,0.01,-0.01,0.01
501611,0.88,1.38,-9.82,0.01,-0.01,0.01
501615,0.82,1.35,-9.85,0.01,-0.01,0.01
501620,0.87,1.34,-9.77,0.01,-0.01,0.01
501746,0.78,1.4,-9.8,0.01,-0.01,0
501751,0.78,1.34,-9.78,0.01,-0.01,0
501755,0.86,1.39,-9.78,0.01,-0.01,0
501759,0.85,1.39,-9.77,0.01,-0.01,0
501764,0.89,1.39,-9.76,0.01,-0.01,0
501768,0.82,1.39,-9.79,0.01,-0.01,0
501913,0.81,1.31,-9.78,0.01,-0.01,0
501917,0.85,1.35,-9.78,0.01,-0.01,0
501922,0.91,1.37,-9.79,0.01,-0.01,0
501926,0.89,1.41,-9.71,0.01,-0.01,0
501931,0.84,1.36,-9.73,0.01,-0.01,0
501935,0.79,1.34,-9.76,0.01,-0.01,0
501940,0.86,1.4,-9.76,0.01,-0.01,0
501944,0.89,1.34,-9.7,0.01,-0.01,0
501949,0.83,1.3,-9.78,0.01,-0.01,0
501953,0.81,1.34,-9.79,0.01,-0.01,0
502050,0.9,1.37,-9.78,0.01,-0.01,-0.01
502063,0.81,1.38,-9.75,0.01,-0.01,-0.01
502068,0.94,1.45,-9.82,0.01,-0.01,-0.01
502073,0.85,1.31,-9.75,0.01,-0.02,-0.01
502077,0.83,1.38,-9.83,0.01,-0.01,0
502082,0.85,1.32,-9.73,0,-0.01,0
502089,0.84,1.36,-9.78,0.01,-0.01,-0.01
502095,0.81,1.33,-9.8,0.01,-0.01,0
502099,0.9,1.43,-9.77,0.01,-0.01,-0.01
502105,0.81,1.31,-9.72,0.01,-0.01,-0.01
502109,0.82,1.34,-9.73,0.01,-0.01,-0.01
502114,0.81,1.4,-9.82,0.01,-0.01,-0.01
502120,0.86,1.34,-9.75,0.01,-0.01,-0.01
502126,0.85,1.28,-9.76,0.01,-0.01,-0.01
502133,0.82,1.38,-9.8,0.01,-0.01,-0.01
502138,0.89,1.44,-9.75,0.01,-0.01,-0.01
502144,0.86,1.37,-9.83,0.01,-0.01,-0.01
502148,0.88,1.29,-9.78,0.01,-0.01,-0.01
502154,0.87,1.37,-9.76,0.01,-0.01,-0.01
502160,0.87,1.41,-9.71,0.01,-0.01,-0.01
502168,0.9,1.38,-9.73,0.01,-0.01,-0.01
502174,0.91,1.37,-9.71,0.01,-0.01,-0.01
502179,0.85,1.44,-9.79,0.01,-0.01,-0.01
502183,0.82,1.45,-9.8,0.01,-0.01,-0.01
502188,0.86,1.36,-9.72,0.01,-0.02,-0.01
502194,0.8,1.32,-9.8,0.01,-0.01,-0.01
502199,0.84,1.36,-9.73,0.01,-0.01,-0.01
502205,0.87,1.32,-9.72,0.01,-0.01,-0.01
502209,0.87,1.37,-9.82,0.01,-0.01,-0.01
502215,0.85,1.39,-9.74,0.01,-0.02,-0.01
502220,0.88,1.38,-9.79,0.01,-0.01,-0.01
502224,0.78,1.32,-9.81,0.01,-0.01,-0.01
502229,0.87,1.31,-9.74,0.01,-0.02,-0.01
502234,0.86,1.4,-9.74,0.01,-0.02,-0.01
502239,0.78,1.34,-9.79,0.01,-0.01,-0.01
502244,0.84,1.36,-9.77,0.01,-0.02,-0.01
503246,0.85,1.39,-9.75,0.02,0,0
503421,0.82,1.32,-9.74,0.02,0,0.01
503425,0.85,1.35,-9.79,0.02,0,0.01
503432,0.84,1.33,-9.75,0.02,0,0.01
503438,0.85,1.34,-9.74,0.02,0,0.01
503443,0.87,1.31,-9.77,0.02,0,0.01
503447,0.85,1.41,-9.78,0.02,0,0.01
503452,0.78,1.35,-9.7,0.02,0,0.01
503457,0.87,1.32,-9.71,0.02,0,0.01
503461,0.9,1.34,-9.71,0.02,0,0.01
503466,0.87,1.33,-9.82,0.02,0,0.01
503470,0.87,1.4,-9.75,0.02,0,0.01
503475,0.92,1.36,-9.75,0.02,0,0.01
503479,0.78,1.28,-9.86,0.02,0,0.01
503483,0.94,1.35,-9.76,0.02,0,0.01
503488,0.8,1.36,-9.75,0.02,0,0.01
503492,0.79,1.3,-9.8,0.02,0,0.01
503496,0.84,1.38,-9.76,0.02,0,0.01
503501,0.91,1.43,-9.78,0.02,0,0.01
503505,0.89,1.37,-9.73,0.02,0,0.01
503509,0.82,1.37,-9.81,0.02,0,0.01
503514,0.89,1.33,-9.73,0.02,0,0.01
503518,0.92,1.39,-9.8,0.02,0,0.01
503590,0.86,1.41,-9.7,0.02,0,0.01
503594,0.82,1.41,-9.73,0.02,0,0.01
503599,0.89,1.44,-9.78,0.02,0,0.01
503603,0.85,1.36,-9.85,0.02,0,0.01
503608,0.86,1.39,-9.75,0.02,0,0.01
503612,0.81,1.45,-9.7,0.02,0,0.01
503616,0.84,1.39,-9.74,0.02,0,0.01
503621,0.83,1.47,-9.78,0.02,0,0.01
503628,0.84,1.4,-9.71,0.02,0,0.01
503664,0.82,1.41,-9.77,0.02,0,0.01
503668,0.88,1.4,-9.81,0.02,0,0.01
503673,0.78,1.31,-9.68,0.02,0,0.01
503677,0.81,1.35,-9.77,0.02,0,0.02
503682,0.78,1.37,-9.73,0.02,0,0.01
503686,0.84,1.34,-9.79,0.02,0,0.01
503692,0.85,1.34,-9.76,0.02,0,0.01
503696,0.82,1.38,-9.85,0.02,0,0.01
503701,0.88,1.37,-9.8,0.02,0,0.01
503705,0.85,1.42,-9.79,0.02,0,0.01
503709,0.85,1.39,-9.79,0.02,0,0.01
503765,0.8,1.32,-9.83,0.02,0,0.01
503769,0.9,1.29,-9.73,0.02,0,0.01
503773,0.8,1.37,-9.75,0.02,0,0.01
503778,0.77,1.39,-9.86,0.02,0,0.01
503783,0.81,1.38,-9.71,0.02,0,0.01
503788,0.8,1.38,-9.76,0.02,0,0.01
503792,0.83,1.39,-9.81,0.02,0,0.01
503797,0.91,1.26,-9.76,0.02,0,0.01
503801,0.82,1.46,-9.75,0.02,0,0.01
503805,0.87,1.41,-9.77,0.02,0,0.01
503810,0.88,1.33,-9.81,0.02,0,0.01
503814,0.85,1.35,-9.79,0.02,0,0.01
503818,0.78,1.39,-9.79,0.02,0,0.01
503824,0.79,1.35,-9.74,0.02,0,0.02
503828,0.85,1.39,-9.81,0.02,0,0.01
503833,0.83,1.3,-9.75,0.02,0,0.01
503837,0.82,1.44,-9.71,0.02,0,0.01
503907,0.81,1.34,-9.8,0.02,0,0.01
503912,0.89,1.48,-9.81,0.02,0,0.01
503916,0.88,1.43,-9.75,0.02,0,0.01
503921,0.86,1.43,-9.74,0.02,0,0.01
503925,0.82,1.39,-9.77,0.02,0,0.01
503930,0.9,1.36,-9.75,0.02,0,0.01
503935,0.78,1.39,-9.72,0.01,0,0.01
503939,0.82,1.45,-9.81,0.02,0,0.01
503944,0.79,1.41,-9.71,0.02,0,0.01
503948,1.15,1.73,-9.71,0.01,0,0.01
503953,0.92,3.17,-7.47,-0.07,-0.05,-0.04
503957,8.66,32.88,-30.1,-1.1,0.86,-0.32
503962,-0.73,39.49,-19.94,-2.63,2.56,-0.21
503967,9.88,43.4,-6.65,-1.68,4.12,-1.51
503971,-22.32,9.26,40.38,-0.56,3.7,-1.17
503976,-10.42,16.99,11.55,1,-1.36,-0.42
503982,-0.93,15.48,-9.53,-0.94,-4.44,0.98
503986,14.3,5.03,-35.62,0.34,-4.07,1.1
503991,12.44,-17.99,-42.92,2.08,-0.15,-1.01
503995,-0.57,8.23,-8.76,0.83,0.03,-0.77
504011,1.46,4.13,2.24,-0.62,0.83,-0.66
504015,-4.9,8.09,-0.23,-0.38,-0.02,-0.42
504020,1.28,7.74,-11.94,-0.59,-0.73,0.15
504024,1.23,1.45,-11.25,-0.31,-0.58,-0.12
504029,1.79,2.6,-14.62,-0.17,-0.21,-0.43
504035,1.23,-0.48,-11.61,-0.73,0.23,-0.37
504039,2.12,-0.99,-11.07,-0.67,0.21,-0.38
504044,1.64,-1.49,-9.33,-0.49,0.05,-0.38
504116,1,0.03,-9.44,-0.04,-0.01,-0.26
504120,1.47,0.34,-9.12,-0.02,0,-0.27
504125,1.8,0.23,-8.55,0.01,0.01,-0.28
504129,1.94,-0.01,-8.58,0.03,0.02,-0.28
504134,1.98,-0.54,-8.19,0.04,0.03,-0.27
504139,1.8,-1.12,-7.82,0.08,0.02,-0.26
504183,1.53,0.07,-11.46,0.24,0.08,-0.29
504188,1.46,0.47,-11.57,0.24,0.08,-0.29
504194,1.23,0.34,-11.77,0.31,0.05,-0.28
504200,1.24,0.16,-12.07,0.33,0.04,-0.27
504204,1.3,0.7,-12.19,0.32,0.06,-0.28
504209,1.49,1.06,-12.13,0.3,0.07,-0.29
504213,1.44,1.54,-11.74,0.31,0.08,-0.3
504217,1.52,1.72,-11.39,0.32,0.07,-0.3
504222,1.5,1.85,-11.3,0.33,0.07,-0.32
504227,1.28,2.16,-10.82,0.32,0.07,-0.32
504231,0.88,2.03,-10.22,0.31,0.07,-0.32
