millis a_x a_y a_z f
3 0.98 0
2274450 -0.83 0.83 0.98 0
2274454 -0.83 0.83 0.98 0
2274497 -0.64 0.64 1.07 0
2274501 -0.64 0.64 1.07 0
2274504 -0.73 0.98 0.98 0
2274508 -0.73 0.98 0.98 0
2274512 -0.73 0.98 0.98 0
2274516 -0.73 0.98 0.98 0
2274520 -0.73 0.98 0.98 0
2274523 -0.68 0.73 1.22 0
2274527 -0.68 0.73 1.22 0
2274531 -0.68 0.73 1.22 0
2274535 -0.68 0.73 1.22 0
2274539 -0.68 0.73 1.22 0
2274543 -0.64 0.68 1.27 0
2274546 -0.64 0.68 1.27 0
2274550 -0.64 0.68 1.27 0
2274554 -0.64 0.68 1.27 0
2274558 -0.64 0.68 1.27 0
2274590 -0.83 0.78 1.03 0
2274593 -0.83 0.78 1.03 0
2274598 -0.83 0.00 1.22 0
2274601 -0.54 0.68 1.22 0
2274605 -0.54 0.68 1.22 0
2274609 -0.54 0.68 1.22 0
2274613 -0.54 0.68 1.22 0
2274617 -0.54 1.47 1.22 0
2274620 -0.59 0.78 1.22 0
2274624 -0.59 0.78 1.22 0
2274628 -0.59 0.78 1.22 0
2274632 -0.59 0.78 1.22 0
2274636 -0.59 0.59 1.17 0
2274640 -0.49 0.59 1.17 0
2274644 -0.49 0.59 1.17 0
2274647 -0.49 0.59 1.17 0
2274651 -0.49 0.59 1.17 0
2274655 -1.27 0.88 1.17 0
2274659 -0.83 0.88 1.17 0
2274663 -0.83 0.88 1.17 0
2274667 -0.83 0.88 1.17 0
2274671 -0.83 0.88 1.17 0
2274675 -0.73 0.93 1.07 0
2274678 -0.73 0.93 1.07 0
2274682 -0.73 0.93 1.07 0
2274686 -0.73 0.93 1.07 0
2274690 -0.73 0.93 1.07 0
2274694 -0.83 0.88 1.03 0
2274698 -0.83 0.88 1.03 0
2274702 -0.83 0.88 1.03 0
2274706 -0.83 0.88 1.03 0
2274710 -0.83 0.88 1.03 0
2274714 -0.68 0.73 1.37 0
2274718 -0.68 0.73 1.37 0
2274722 -0.68 0.73 1.37 0
2274726 -0.68 0.73 1.37 0
2274730 -0.68 0.73 1.07 0
2274734 -0.78 0.59 1.07 0
2274737 -0.78 0.59 1.07 0
2274741 -0.78 0.59 1.07 0
2274745 -0.78 0.59 1.07 0
2274749 -0.78 0.59 1.42 0
2274752 -0.49 0.68 1.42 0
2274756 -0.49 0.68 1.42 0
2274760 -0.49 0.68 1.42 0
2274764 -0.49 0.68 1.42 0
2274768 -0.49 0.68 1.07 0
2274771 -0.59 0.68 1.07 0
2274775 -0.59 0.68 1.07 0
2274779 -0.59 0.68 1.07 0
2274783 -0.59 0.68 1.07 0
2274787 -0.59 0.68 1.12 0
2274791 -0.73 0.64 1.12 0
2274795 -0.73 0.64 1.12 0
2274799 -0.73 0.64 1.12 0
2274803 -0.73 0.64 1.12 0
2274807 -0.73 1.42 1.32 0
2274810 -0.83 0.78 1.32 0
2274814 -0.83 0.78 1.32 0
2274818 -0.83 0.78 1.32 0
2274822 -0.83 0.78 1.32 0
2274826 -0.05 0.83 1.22 0
2274830 -0.73 0.83 1.22 0
2274834 -0.73 0.83 1.22 0
2274838 -0.73 0.83 1.22 0
2274841 -0.73 0.83 1.22 0
2274845 -0.78 0.73 1.22 0
2274849 -0.78 0.73 1.22 0
2274853 -0.78 0.73 1.22 0
2274857 -0.78 0.73 1.22 0
2274861 -0.78 0.73 1.22 0
2274865 -0.64 0.68 1.32 0
2274868 -0.64 0.68 1.32 0
2274872 -0.64 0.68 1.32 0
2274876 -0.64 0.68 1.32 0
2274880 -0.64 0.68 1.32 0
2274884 -0.73 0.88 1.22 0
2274888 -0.73 0.88 1.22 0
2274892 -0.73 0.88 1.22 0
2274896 -0.73 0.88 1.22 0
2274900 -0.73 0.88 1.22 0
2274904 -0.68 0.78 1.22 0
2274908 -0.68 0.78 1.22 0
2274911 -0.68 0.78 1.22 0
2274915 -0.68 0.78 1.22 0
2274919 -0.68 0.78 1.22 0
2274923 -0.68 0.88 1.12 0
2274927 -0.68 0.88 1.12 0
2274930 -0.68 0.88 1.12 0
2274934 -0.68 0.88 1.12 0
2274943 -0.83 0.78 1.17 0
2274947 -0.83 0.78 1.17 0
2274951 -0.83 0.78 1.17 0
2274955 -0.83 0.78 1.17 0
2274959 -0.05 0.93 1.17 0
2274963 -0.68 0.93 1.17 0
2274967 -0.68 0.93 1.17 0
2274970 -0.68 0.93 1.17 0
2274975 -0.68 0.93 1.17 0
2274979 -0.59 0.78 1.12 0
2274982 -0.59 0.78 1.12 0
2274986 -0.59 0.78 1.12 0
2274990 -0.59 0.78 1.12 0
2274994 -0.59 0.78 1.12 0
2274998 -0.68 0.88 1.17 0
2275002 -0.68 0.88 1.17 0
2275006 -0.68 0.88 1.17 0
2275010 -0.68 0.88 1.17 0
2275014 -0.68 0.88 1.17 0
2275018 -0.59 0.78 1.37 0
2275022 -0.59 0.78 1.37 0
2275026 -0.59 0.78 1.37 0
2275029 -0.59 0.78 1.37 0
2275033 -0.59 0.78 0.98 0
2275037 -0.54 0.68 0.98 0
2275041 -0.54 0.68 0.98 0
2275045 -0.54 0.68 0.98 0
2275049 -0.54 0.68 0.98 0
2275053 -0.54 0.68 1.12 0
2275057 -0.88 0.73 1.12 0
2275060 -0.88 0.73 1.12 0
2275064 -0.88 0.73 1.12 0
2275068 -0.88 0.73 1.12 0
2275072 -0.88 0.73 1.37 0
2275076 -0.59 0.64 1.37 0
2275080 -0.59 0.64 1.37 0
2275083 -0.59 0.64 1.37 0
2275088 -0.59 0.64 1.37 0
2275092 -0.59 1.42 1.32 0
2275095 -0.73 0.78 1.32 0
2275099 -0.73 0.78 1.32 0
2275103 -0.73 0.78 1.32 0
2275107 -0.73 0.78 1.32 0
2275111 -0.64 0.54 1.32 0
2275115 -0.64 0.54 1.32 0
2275119 -0.64 0.54 1.32 0
2275123 -0.64 0.54 1.32 0
2275127 -0.64 0.54 1.32 0
2275131 -0.78 0.59 1.17 0
2275135 -0.78 0.59 1.17 0
2275138 -0.78 0.59 1.17 0
2275142 -0.78 0.59 1.17 0
2275146 -0.78 0.59 1.17 0
2275150 -0.64 0.54 1.37 0
2275154 -0.64 0.54 1.37 0
2275158 -0.64 0.54 1.37 0
2275162 -0.64 0.54 1.37 0
2275165 -0.64 0.54 1.37 0
2275169 -0.68 0.49 1.12 0
2275173 -0.68 0.49 1.12 0
2275177 -0.68 0.49 1.12 0
2275181 -0.68 0.49 1.12 0
2275185 -0.68 0.49 1.12 0
2275189 -0.68 0.73 1.42 0
2275193 -0.68 0.73 1.42 0
2275196 -0.68 0.73 1.42 0
2275200 -0.68 0.73 1.42 0
2275204 -0.68 0.73 1.42 0
2275208 -0.68 0.78 1.47 0
2275212 -0.68 0.78 1.47 0
2275215 -0.68 0.78 1.47 0
2275219 -0.68 0.78 1.47 0
2275223 -0.68 0.78 1.47 0
2275227 -0.68 0.64 1.12 0
2275231 -0.68 0.64 1.12 0
2275234 -0.68 0.64 1.12 0
2275238 -0.68 0.64 1.12 0
2275249 -0.78 0.83 1.37 0
2275254 -0.78 0.83 1.37 0
2275258 -0.78 0.83 1.37 0
2275262 -0.78 0.83 1.27 0
2275266 -0.68 0.78 1.27 0
2275270 -0.68 0.78 1.27 0
2275273 -0.68 0.78 1.27 0
2275277 -0.68 0.78 1.27 0
2275281 -0.68 0.78 1.22 0
2275285 -0.49 0.88 1.22 0
2275289 -0.49 0.88 1.22 0
2275293 -0.49 0.88 1.22 0
2275296 -0.49 0.88 1.22 0
2275300 -0.49 0.88 1.17 0
2275304 -0.59 0.88 1.17 0
2275308 -0.59 0.88 1.17 0
2275312 -0.59 0.88 1.17 0
2275315 -0.59 0.88 1.17 0
2275336 -0.68 0.98 1.12 0
2275340 -0.83 0.64 1.37 0
2275344 -0.83 0.64 1.37 0
2275348 -0.83 0.64 1.37 0
2275352 -0.83 0.64 1.37 0
2275356 -0.83 0.64 2.15 0
2275360 -0.64 0.64 1.56 0
2275363 -0.64 0.64 1.56 0
2275367 -0.64 0.64 1.56 0
2275371 -0.64 0.64 1.56 0
2275375 -0.64 0.64 0.78 0
2275379 -0.64 0.54 1.22 0
2275383 -0.64 0.54 1.22 0
2275387 -0.64 0.54 1.22 0
2275391 -0.64 0.54 1.22 0
2275395 -0.64 0.54 1.03 0
2275398 -0.93 0.59 1.03 0
2275402 -0.93 0.59 1.03 0
2275406 -0.93 0.59 1.03 0
2275410 -0.93 0.59 1.03 0
2275414 -0.93 0.59 1.17 0
2275418 -0.73 0.59 1.17 0
2275422 -0.73 0.59 1.17 0
2275426 -0.73 0.59 1.17 0
2275430 -0.73 0.59 1.17 0
2275433 -1.51 0.39 1.12 0
2275438 -0.83 0.39 1.12 0
2275442 -0.83 0.39 1.12 0
2275446 -0.83 0.39 1.12 0
2275450 -0.83 0.39 1.12 0
2275454 -0.88 0.29 1.17 0
2275458 -0.88 0.29 1.17 0
2275462 -0.88 0.29 1.17 0
2275466 -0.88 0.29 1.17 0
2275470 -0.88 0.29 1.17 0
2275474 -0.93 0.34 1.12 0
2275477 -0.93 0.34 1.12 0
2275481 -0.93 0.34 1.12 0
2275485 -0.93 0.34 1.12 0
2275489 -0.93 0.34 1.17 0
2275493 -0.93 0.20 1.17 0
2275497 -0.93 0.20 1.17 0
2275501 -0.93 0.20 1.17 0
2275505 -0.93 0.20 1.17 0
2275509 -0.93 0.20 1.03 0
2275513 -0.93 0.29 1.03 0
2275516 -0.93 0.29 1.03 0
2275520 -0.93 0.29 1.03 0
2275524 -0.93 0.29 1.03 0
2275528 -0.93 0.29 1.12 0
2275532 -1.03 0.29 1.12 0
2275536 -1.03 0.29 1.12 0
2275540 -1.03 0.29 1.12 0
2275543 -1.03 0.29 1.12 0
2275547 -1.03 0.29 1.17 0
2275551 -1.03 0.29 1.17 0
2275555 -1.03 0.29 1.17 0
2275559 -1.03 0.29 1.17 0
2275563 -1.03 0.29 1.17 0
2275567 -1.03 0.10 0.98 0
2275571 -1.27 0.10 0.98 0
2275574 -1.27 0.10 0.98 0
2275578 -1.27 0.10 0.98 0
2275582 -1.27 0.10 0.98 0
2275586 -1.61 0.10 1.37 0
2275590 -1.61 0.10 1.37 0
2275594 -1.61 0.10 1.37 0
2275598 -1.61 0.10 1.37 0
2275601 -1.61 0.10 1.37 0
2275605 -1.81 -0.10 1.12 0
2275609 -1.81 -0.10 1.12 0
2275613 -1.81 -0.10 1.12 0
2275617 -1.81 -0.10 1.12 0
2275621 -1.81 -0.10 1.12 0
2275625 -1.51 -0.34 1.42 0
2275628 -1.51 -0.34 1.42 0
2275632 -1.51 -0.34 1.42 0
2275636 -1.51 -0.34 1.42 0
2275640 -1.51 -0.34 1.42 0
2275644 -1.61 -0.24 1.27 0
2275648 -1.61 -0.24 1.27 0
2275652 -1.61 -0.24 1.27 0
2275655 -1.61 -0.24 1.27 0
2275659 -1.61 -0.24 1.27 0
2275663 -1.32 -0.20 0.98 0
2275667 -1.32 -0.20 0.98 0
2275671 -1.32 -0.20 0.98 0
2275675 -1.32 -0.20 0.98 0
2275679 -1.32 -0.20 0.98 0
2275682 -1.32 -0.15 1.03 0
2275686 -1.32 -0.15 1.03 0
2275690 -1.32 -0.15 1.03 0
2275694 -1.32 -0.15 1.03 0
2275698 -1.32 -0.15 1.03 0
2275704 -1.32 0.00 1.22 0
2275707 -1.32 0.00 1.22 0
2275711 -1.32 0.00 1.22 0
2275715 -1.32 0.00 1.22 0
2275732 -0.93 -0.15 1.12 0
2275736 -0.93 -0.15 0.88 0
2275740 -0.73 -0.05 0.88 0
2275744 -0.73 -0.05 0.88 0
2275748 -0.73 -0.05 0.88 2803
2275752 -0.73 -0.05 0.88 3920
2275755 -0.73 -0.05 2.00 3830
2275759 2.10 -0.93 2.00 4016
2275763 2.10 -0.93 2.00 4095
2275798 2.54 -1.03 -0.10 4095
2275801 2.54 -1.03 -0.10 4095
2275805 2.54 -1.03 -0.10 4095
2275809 2.54 -1.03 -0.10 4095
2275813 2.54 -3.37 2.34 4095
2275817 -0.15 -3.47 2.34 4095
2275821 -0.15 -3.47 2.34 4095
2275825 -0.15 -3.47 2.34 4095
2275829 -0.15 -3.47 2.34 4095
2275833 -1.07 2.34 -0.78 4095
2275837 -1.07 2.34 -0.78 4095
2275841 -1.07 2.34 -0.78 4095
2275844 -1.07 2.34 -0.78 4095
2275848 -1.07 2.34 -0.78 4095
2275852 -1.37 0.34 -0.73 4095
2275856 -1.37 0.34 -0.73 4095
2275860 -1.37 0.34 -0.73 4095
2275864 -1.37 0.34 -0.73 4095
2275868 -1.37 0.34 0.05 4095
2275872 -0.93 0.39 0.64 4095
2275876 -0.93 0.39 0.64 4095
2275880 -0.93 0.39 0.64 4095
2275884 -0.93 0.39 0.64 4095
2275888 -0.93 0.39 0.39 4095
2275892 -0.49 0.39 0.39 4095
2275896 -0.49 0.39 0.39 4095
2275900 -0.49 0.39 0.39 4095
2275903 -0.49 0.39 0.39 4095
2275907 -0.49 0.39 0.68 4095
2275911 -0.10 0.15 0.68 4095
2275915 -0.10 0.15 0.68 4095
2275919 -0.10 0.15 0.68 4095
2275923 -0.10 0.15 0.68 4095
2275927 -0.10 0.15 0.49 4095
2275934 0.05 0.59 0.49 4095
2275938 0.05 0.59 0.49 4095
2275942 0.05 0.59 0.49 4095
2275946 0.05 1.37 0.29 4095
2275950 -0.10 1.07 0.29 4095
2275954 -0.10 1.07 0.29 4095
2275957 -0.10 1.07 0.29 4095
2275961 -0.10 1.07 0.29 4095
2275965 0.68 0.93 0.29 4095
2275969 0.15 0.93 0.29 4095
2275973 0.15 0.93 0.29 4095
2275977 0.15 0.93 0.29 4025
2275980 0.15 0.93 0.29 3990
2275984 -0.64 0.59 0.39 3894
2275988 -0.05 0.59 0.39 3856
2275992 -0.05 0.59 0.39 3728
2275996 -0.05 0.59 0.39 3583
2276000 -0.05 0.59 0.39 3319
2276003 0.73 1.27 0.44 3093
2276007 0.39 1.27 0.44 2766
2276011 0.39 1.27 0.44 2267
2276015 0.39 1.27 0.44 1709
2276019 0.39 1.27 0.44 1584
2276022 0.39 0.68 0.64 1327
2276026 0.73 0.68 0.64 1343
2276030 0.73 0.68 0.64 1159
2276034 0.73 0.68 0.64 1184
2276038 0.73 0.68 0.64 943
2276041 0.73 0.88 0.34 772
2276045 0.59 0.88 0.34 688
2276115 0.05 0.49 0.59 522
2276118 -0.15 0.73 0.68 507
2276122 -0.15 0.73 0.68 579
2276126 -0.15 0.73 0.68 561
2276130 -0.15 0.73 0.68 613
2276134 -0.15 0.73 0.68 554
2276138 -0.15 0.68 0.88 549
2276142 -0.15 0.68 0.88 496
2276146 -0.15 0.68 0.88 569
2276150 -0.15 0.68 0.88 528
2276154 -0.15 0.68 0.10 551
2276158 -0.59 0.68 0.44 525
2276162 -0.59 0.68 0.44 521
2276166 -0.59 0.68 0.44 489
2276170 -0.59 0.68 0.44 401
2276173 -0.59 0.68 0.54 384
2276178 -0.39 0.49 0.54 409
2276181 -0.39 0.49 0.54 409
2276185 -0.39 0.49 0.54 404
2276189 -0.39 0.49 0.54 428
2276193 -0.39 0.44 1.07 375
2276197 -0.44 0.44 1.07 319
2276201 -0.44 0.44 1.07 244
2276205 -0.44 0.44 1.07 216
2276209 -0.44 0.44 1.07 214
2276212 -0.44 0.24 0.78 242
2276216 -0.73 0.24 0.78 241
2276220 -0.73 0.24 0.78 200
2276224 -0.73 0.24 0.78 194
2276228 -0.73 0.24 0.78 217
2276232 -0.68 0.49 0.88 246
2276235 -0.68 0.49 0.88 317
2276239 -0.68 0.49 0.88 320
2276243 -0.68 0.49 0.88 293
2276247 -0.68 0.49 0.88 280
2276251 -0.64 0.49 0.83 272
2276255 -0.64 0.49 0.83 257
2276259 -0.64 0.49 0.83 239
2276262 -0.64 0.49 0.83 222
2276266 -0.64 0.49 0.83 239
2276270 -0.68 0.54 1.17 255
2276274 -0.68 0.54 1.17 240
2276278 -0.68 0.54 1.17 248
2276282 -0.68 0.54 1.17 217
2276286 -0.68 0.54 1.17 210
2276290 -0.98 0.49 1.03 205
2276293 -0.98 0.49 1.03 202
2276297 -0.98 0.49 1.03 215
2276301 -0.98 0.49 1.03 215
2276305 -0.98 0.49 1.03 211
2276309 -0.83 0.59 0.93 209
2276313 -0.83 0.59 0.93 221
2276317 -0.83 0.59 0.93 215
2276320 -0.83 0.59 0.93 214
2276324 -0.83 0.59 0.93 196
2276328 -0.88 0.44 0.83 190
2276332 -0.88 0.44 0.83 175
2276336 -0.88 0.44 0.83 176
2276340 -0.88 0.44 0.83 187
2276344 -0.88 0.44 0.98 193
2276347 -0.93 0.34 0.98 188
2276351 -0.93 0.34 0.98 192
2276355 -0.93 0.34 0.98 191
2276359 -0.93 0.34 0.98 205
2276363 -0.93 0.34 1.03 200
2276367 -0.93 0.20 1.03 174
2276370 -0.93 0.20 1.03 165
2276374 -0.93 0.20 1.03 163
2276378 -0.93 0.20 1.03 145
