"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"0.07,1.33,-9.77,0.01,0.00,-0.01"
"2047146,0.02,1.40,-9.78,0.01,0.00,-0.01"
"2047156,0.12,1.36,-9.76,0.01,0.00,-0.01"
"2047161,0.09,1.38,-9.80,0.01,0.00,-0.01"
"2047165,0.09,1.35,-9.79,0.01,0.00,-0.01"
"2047168,0.13,1.33,-9.72,0.01,0.00,-0.01"
"2047172,0.05,1.41,-9.72,0.01,0.00,-0.01"
"2047176,0.14,1.46,-9.78,0.01,0.00,-0.01"
"2047180,0.08,1.38,-9.71,0.01,0.00,-0.01"
"2047184,0.10,1.44,-9.78,0.01,0.00,-0.01"
"2047188,0.03,1.34,-9.81,0.01,0.00,-0.01"
"2047192,0.06,1.35,-9.77,0.01,0.00,-0.01"
"2047195,0.09,1.41,-9.78,0.01,0.00,-0.01"
"2047199,0.01,1.37,-9.77,0.01,0.00,-0.01"
"2047203,0.09,1.39,-9.84,0.01,0.00,-0.01"
"2047206,0.03,1.32,-9.79,0.01,0.00,-0.01"
"2047210,0.06,1.45,-9.74,0.01,0.00,-0.01"
"2047215,0.13,1.33,-9.80,0.01,0.00,-0.01"
"2047219,0.05,1.38,-9.78,0.01,0.00,-0.01"
"2047223,0.10,1.37,-9.84,0.01,0.00,-0.01"
"2047226,0.13,1.34,-9.74,0.01,0.00,-0.01"
"2047230,0.09,1.37,-9.70,0.01,0.00,-0.01"
"2047234,0.12,1.38,-9.74,0.01,0.00,-0.01"
"2047237,0.11,1.35,-9.75,0.02,0.00,-0.01"
"2047241,0.10,1.32,-9.75,0.01,-0.00,-0.01"
"2047245,0.10,1.42,-9.76,0.02,0.00,-0.01"
"2047249,0.05,1.33,-9.71,0.01,0.00,-0.01"
"2047252,0.17,1.40,-9.80,0.01,0.00,-0.01"
"2047270,0.03,1.42,-9.82,0.01,0.00,-0.01"
"2047273,0.11,1.38,-9.76,0.01,0.00,-0.01"
"2047434,0.06,1.34,-9.78,0.02,0.00,-0.01"
"2047437,0.05,1.38,-9.73,0.02,0.00,-0.01"
"2047441,0.08,1.38,-9.80,0.02,0.00,-0.01"
"2047445,0.13,1.37,-9.84,0.02,0.00,-0.01"
