millis,a_x, a_y, a_z, g_x, g_y, g_z
805271,0.36,-0.75,-9.16,0.09,-0.07,-0.13
805276,0.09,-1.14,-9.15,0.1,-0.07,-0.13
805281,-0.12,-1.23,-9.5,0.13,-0.09,-0.13
805286,0.03,-1.32,-9.46,0.16,-0.1,-0.13
805291,0.16,-1.17,-9.61,0.17,-0.1,-0.12
805295,0.54,-0.87,-10.01,0.19,-0.09,-0.12
805301,0.66,-1.05,-9.48,0.22,-0.1,-0.12
805306,0.33,-1.23,-9.82,0.24,-0.12,-0.11
805310,0.16,-1.41,-9.97,0.26,-0.13,-0.1
805315,0.28,-1.13,-10,0.28,-0.12,-0.11
805319,0.23,-0.56,-10.08,0.3,-0.13,-0.11
805324,0.47,-0.32,-10.11,0.32,-0.14,-0.11
805328,0.75,0.09,-10.01,0.32,-0.13,-0.12
805334,1.02,0.51,-10.02,0.33,-0.12,-0.13
805338,1.23,0.02,-10.08,0.33,-0.12,-0.12
805344,1.36,-0.77,-10,0.37,-0.11,-0.13
805355,1.1,0.25,-9.8,0.39,-0.14,-0.13
805360,1.15,1.21,-10.19,0.41,-0.15,-0.14
805365,1.24,1.57,-10.73,0.36,-0.08,-0.13
805370,1.52,0.28,-9,0.39,-0.09,-0.13
805374,1.08,1.11,-11.05,0.44,-0.12,-0.15
805379,0.86,0.73,-11,0.4,-0.12,-0.11
805383,0.79,0.39,-9.83,0.43,-0.12,-0.14
805388,1.27,1.46,-10.42,0.44,-0.12,-0.16
805393,1.76,2.25,-10.9,0.4,-0.09,-0.16
805397,2.16,2.07,-9.78,0.37,-0.04,-0.15
805401,1.88,1.92,-9.41,0.41,-0.1,-0.16
805455,1.14,3.21,-9.84,0.29,-0.02,-0.21
805460,1.3,3.04,-9.29,0.25,-0.01,-0.2
805468,1.49,3.08,-9.83,0.25,-0.03,-0.19
805473,1.73,3.24,-9.56,0.22,-0.01,-0.21
805477,1.66,3.44,-9.52,0.2,0.01,-0.22
805482,1.16,3.1,-9.45,0.19,-0.01,-0.2
805488,1.08,3.02,-9.79,0.18,-0.01,-0.21
805493,1,3.12,-9.49,0.16,0,-0.21
805498,0.99,2.96,-9.63,0.14,0.01,-0.22
805502,1.1,2.8,-9.58,0.13,0.01,-0.22
805507,0.98,2.88,-9.64,0.12,0.01,-0.23
805511,1.14,3.05,-9.68,0.11,0,-0.22
805516,1.11,2.92,-9.48,0.09,0.01,-0.23
805520,1.2,2.98,-9.63,0.08,0.01,-0.23
805525,1.31,3.07,-9.57,0.07,0.01,-0.23
805529,1.34,3,-9.52,0.05,0.02,-0.23
805533,1.29,2.79,-9.53,0.04,0.03,-0.24
805537,1.3,2.57,-9.53,0.03,0.03,-0.24
805551,0.67,2.17,-9.7,0,0.02,-0.23
805556,0.55,2.04,-9.59,0,0.02,-0.23
805623,0.39,0.66,-10.05,-0.03,0,-0.23
805627,0.33,0.6,-9.97,-0.02,-0.01,-0.23
805638,0.44,0.39,-9.92,0,-0.01,-0.23
805642,0.61,0.26,-9.88,0.01,-0.01,-0.22
805646,0.65,0.17,-9.85,0.01,-0.02,-0.22
805651,0.56,0.29,-9.55,0.02,-0.03,-0.22
805658,0.57,0.16,-9.53,0.03,-0.03,-0.22
805663,0.53,-0.27,-9.68,0.05,-0.02,-0.22
805668,0.66,-0.22,-9.71,0.07,-0.03,-0.22
805673,0.53,-0.25,-9.63,0.08,-0.04,-0.21
805677,0.51,-0.48,-9.85,0.09,-0.04,-0.21
805682,0.44,-0.4,-9.74,0.11,-0.05,-0.21
805686,0.52,-0.31,-9.94,0.11,-0.04,-0.21
805691,0.37,-0.35,-9.54,0.13,-0.05,-0.2
805695,0.34,-0.28,-9.81,0.14,-0.06,-0.21
805700,0.51,-0.31,-10.04,0.15,-0.05,-0.21
805705,0.61,-0.45,-9.83,0.16,-0.05,-0.21
805710,0.68,-0.3,-9.98,0.2,-0.06,-0.2
805714,0.73,0.01,-9.88,0.2,-0.07,-0.19
805821,-3.46,-5.5,-16.93,1.02,-0.22,-0.36
805826,1.62,4.75,-16.58,0.54,-0.1,-0.21
805831,7.04,19.09,-19.87,0.34,0.27,-0.18
805836,3.6,24.69,-10.89,0.08,0.83,-0.12
805840,2.4,24.33,-4.45,0.26,0.73,-0.1
805845,3.63,23.3,-1.89,0.55,0.4,-0.13
805849,4.26,22.65,-3.74,0.38,-0.33,0.13
805853,8.78,17.94,-7.33,0.21,-0.71,0.38
805858,7.9,14.29,-7.7,0.46,-0.75,0.28
805862,5.48,11.4,-8.05,0.47,-0.66,0.24
805866,5.32,8.14,-8.08,0.2,-0.48,0.28
805919,-1.09,1.03,-9.79,0.08,-0.03,0.16
805923,-0.16,2.47,-9.79,0.05,-0.01,0.15
805928,0.55,3.74,-9.91,0,0.04,0.12
805933,1.91,5.9,-9.9,-0.07,0.11,0.1
805938,2.58,7.29,-9.41,-0.1,0.12,0.09
805943,3.01,8.13,-8.55,-0.13,0.11,0.1
805948,3.19,8.15,-8.2,-0.15,0.06,0.11
805952,3.42,7.86,-8.6,-0.16,0.03,0.11
805957,3.83,7.07,-9.4,-0.21,0.04,0.11
805961,3.6,6.32,-9.03,-0.26,0.09,0.09
805965,2.83,5.26,-8.89,-0.26,0.06,0.11
805970,2.44,4.13,-9.75,-0.23,0.01,0.13
805974,1.87,1.96,-10.58,-0.22,0,0.13
806004,-0.91,0.85,-9.04,-0.28,0.07,0.09
806009,-0.55,1.57,-9.1,-0.29,0.07,0.09
806014,0.12,2.38,-9.27,-0.31,0.08,0.08
806018,0.8,3.13,-9.33,-0.34,0.1,0.07
806022,1.31,3.49,-9.34,-0.35,0.11,0.07
806027,1.79,3.68,-9.49,-0.35,0.11,0.06
806045,1.47,2.55,-10.74,-0.39,0.1,0.08
806051,0.93,1.98,-11.15,-0.38,0.09,0.09
806058,0.12,0.93,-11.6,-0.37,0.08,0.09
806062,-0.18,0.67,-11.66,-0.37,0.08,0.08
806067,-0.59,0.5,-11.42,-0.38,0.07,0.09
806073,-1.02,0.14,-11.03,-0.37,0.05,0.09
806077,-1.1,-0.37,-10.64,-0.34,0.03,0.09
806082,-0.9,-0.73,-10.29,-0.32,0.02,0.09
806086,-0.59,-0.9,-10.1,-0.32,0.02,0.09
806091,-0.1,-0.85,-9.73,-0.31,0.02,0.09
806096,0.56,-0.31,-9.57,-0.3,0.02,0.08
806106,1.36,0.41,-9.24,-0.28,0.03,0.09
806110,1.48,0.75,-8.86,-0.28,0.03,0.1
806115,1.55,0.83,-8.79,-0.27,0.02,0.11
806198,0.65,-0.59,-10.2,0.09,-0.07,0.16
806203,0.54,0.07,-9.75,0.1,-0.08,0.16
806208,0.71,0.95,-9.54,0.1,-0.08,0.16
806213,1,1.22,-9.06,0.1,-0.07,0.15
806218,0.51,0.74,-8.96,0.14,-0.08,0.14
806223,0.49,-0.04,-9.32,0.15,-0.08,0.15
806228,0.53,-0.97,-8.92,0.18,-0.07,0.14
806232,0.66,-1.23,-9.48,0.2,-0.08,0.13
806237,0.81,-1.21,-9.4,0.19,-0.06,0.13
806241,0.71,-1.07,-9.41,0.21,-0.07,0.14
806246,0.56,-0.91,-9.95,0.23,-0.1,0.15
806250,0.61,-0.19,-10.4,0.25,-0.1,0.16
806255,0.63,0.55,-10.58,0.24,-0.09,0.16
806291,1.59,2.81,-10.23,0.22,-0.08,0.15
806296,1.68,2.93,-10.05,0.22,-0.07,0.14
806301,1.65,2.98,-9.8,0.21,-0.06,0.13
806306,1.61,2.85,-9.47,0.2,-0.06,0.13
806311,1.38,2.86,-9.47,0.18,-0.06,0.13
806316,1.41,2.93,-9.28,0.16,-0.05,0.13
806320,1.39,3.02,-9.15,0.15,-0.04,0.13
806325,1.38,2.79,-8.96,0.14,-0.04,0.12
806329,1.43,2.48,-9,0.13,-0.03,0.11
806334,1.54,2.42,-9.01,0.12,-0.02,0.11
806339,1.47,2.45,-9,0.11,-0.02,0.11
806344,1.53,2.54,-9.28,0.1,-0.02,0.11
806348,1.58,2.57,-9.34,0.09,-0.01,0.11
806353,1.64,2.93,-9.46,0.08,0,0.1
806357,1.77,3.22,-9.67,0.05,0,0.1
806363,1.7,3.5,-9.55,0.02,0.03,0.09
806368,1.53,3.66,-9.5,0.01,0.02,0.09
806373,1.53,3.58,-9.76,0,0.01,0.1
806378,1.62,3.66,-9.89,-0.02,0.03,0.08
806383,1.7,3.68,-9.9,-0.04,0.05,0.07
806388,1.79,3.68,-9.83,-0.06,0.05,0.07
806392,1.73,3.51,-9.7,-0.08,0.05,0.06
806397,1.56,3.49,-9.84,-0.1,0.06,0.05
806402,1.3,3.02,-9.8,-0.12,0.07,0.05
806406,1.23,2.54,-9.57,-0.12,0.07,0.05
806411,1.08,2.39,-9.76,-0.13,0.07,0.05
806416,0.79,2,-9.01,-0.13,0.06,0.05
806421,0.73,2.11,-9.64,-0.14,0.05,0.05
806425,0.68,2.45,-9.1,-0.16,0.07,0.03
806430,0.63,2.87,-9.21,-0.17,0.07,0.02
806434,0.83,2.71,-9.28,-0.18,0.07,0.02
806440,1.13,2.84,-9.25,-0.19,0.09,0
806444,1.14,3.07,-9.37,-0.21,0.08,0
806449,1.35,2.95,-9.56,-0.23,0.08,-0.01
806453,1.13,2.77,-9.33,-0.24,0.09,-0.01
806458,1.1,2.45,-10.03,-0.26,0.09,-0.01
806463,1.05,2.06,-9.99,-0.26,0.1,-0.01
806468,0.69,1.91,-10.11,-0.26,0.09,-0.01
806472,0.64,1.62,-10.43,-0.26,0.08,0
806477,0.5,1.27,-10.6,-0.25,0.08,-0.02
806481,0.6,1.12,-10.82,-0.25,0.08,-0.01
806486,0.58,1.26,-10.66,-0.26,0.08,-0.02
806491,0.47,1.39,-10.64,-0.26,0.08,-0.01
806495,0.51,1.35,-10.61,-0.26,0.06,-0.01
806550,0.18,-0.04,-9.87,-0.17,0.03,-0.02
806555,0.36,-0.34,-9.36,-0.19,0.04,0
806560,0.46,-0.44,-9.49,-0.15,0.03,-0.02
806565,0.43,-0.36,-9.96,-0.15,0.03,-0.01
806569,0.31,-0.61,-9.63,-0.13,0.03,-0.01
806574,0.34,-0.79,-10.09,-0.11,0.02,-0.01
806579,0.29,-1.04,-10.07,-0.09,0.02,0
806583,0.22,-0.95,-9.99,-0.08,0.01,0
806588,0.18,-0.96,-9.99,-0.06,0,0
806593,0.24,-1.06,-10.27,-0.04,-0.01,0
806597,0.47,-0.82,-10.11,-0.02,0,0
806602,0.61,-0.74,-9.95,0,-0.01,0
806607,0.72,-0.69,-10.04,0.02,-0.02,0.01
806611,0.46,-0.7,-9.74,0.03,-0.03,0.01
806616,0.5,-0.56,-9.94,0.05,-0.03,0.02
806620,0.55,-0.39,-10.02,0.05,-0.02,0
806690,1.08,1.04,-10.38,0.2,-0.06,0.02
806695,0.85,0.9,-10.17,0.21,-0.06,0.01
806699,0.83,1.11,-10.3,0.22,-0.07,0
806704,1.01,1.23,-10.24,0.21,-0.06,0
806708,1.18,1.4,-9.92,0.21,-0.05,-0.01
806713,1.08,1.79,-10,0.2,-0.05,-0.01
806720,1.27,1.77,-9.81,0.21,-0.06,0
806724,1.31,1.86,-9.77,0.21,-0.05,-0.01
806729,1.51,1.83,-9.7,0.2,-0.04,-0.01
806733,1.34,1.73,-9.57,0.2,-0.04,-0.02
806739,1.27,1.75,-9.63,0.2,-0.04,-0.02
806744,1.32,1.71,-9.62,0.19,-0.03,-0.02
806748,1.23,1.87,-9.59,0.19,-0.03,-0.02
806754,1.35,1.93,-9.74,0.18,-0.02,-0.03
806758,1.31,1.93,-9.71,0.18,-0.02,-0.03
806763,1.36,2.08,-9.9,0.17,-0.02,-0.03
806768,1.24,2.21,-9.78,0.16,-0.01,-0.04
806789,1.22,2.65,-9.84,0.12,0,-0.05
806793,1.07,2.82,-9.7,0.11,0,-0.05
806798,1.23,3.01,-9.71,0.1,0,-0.05
806803,1.12,3,-9.66,0.08,0.01,-0.05
806807,1.17,3.01,-9.65,0.07,0.01,-0.06
806811,1.25,3.02,-9.71,0.07,0.01,-0.06
806816,1.18,2.8,-9.67,0.05,0.01,-0.06
806979,0.57,0.33,-9.89,-0.08,0.02,-0.09
806983,0.5,0.31,-9.82,-0.07,0.01,-0.09
806988,0.49,0.11,-9.85,-0.06,0.01,-0.09
806992,0.49,0.11,-9.96,-0.05,0,-0.09
806998,0.55,-0.03,-9.94,-0.04,0,-0.09
807004,0.54,-0.06,-9.99,-0.03,0,-0.09
807009,0.63,-0.08,-9.87,-0.02,0,-0.08
807013,0.55,-0.28,-9.83,0,-0.01,-0.08
807018,0.65,-0.18,-9.91,0.01,-0.01,-0.08
807023,0.71,-0.12,-9.71,0.02,-0.01,-0.08
807027,0.75,-0.1,-9.92,0.03,-0.01,-0.08
807032,0.67,-0.06,-9.79,0.04,-0.02,-0.07
807038,0.53,0.05,-9.61,0.06,-0.02,-0.08
807042,0.62,0.2,-9.88,0.06,-0.02,-0.07
807047,0.54,0.01,-9.62,0.07,-0.02,-0.07
807086,0.84,0.11,-9.91,0.16,-0.04,-0.07
807091,0.78,0.11,-9.93,0.17,-0.04,-0.06
807134,0.9,1.28,-9.86,0.21,-0.04,-0.06
807138,1.06,1.28,-9.66,0.21,-0.04,-0.06
807143,0.86,1.35,-9.94,0.21,-0.03,-0.07
807148,1.07,1.35,-9.77,0.21,-0.03,-0.07
807152,0.93,1.39,-9.71,0.21,-0.03,-0.07
807157,1.04,1.47,-9.97,0.21,-0.04,-0.06
807162,1.08,1.58,-9.89,0.21,-0.03,-0.07
807166,1.1,1.86,-9.85,0.2,-0.02,-0.07
807294,-2.65,-1.1,-9.91,-0.09,0,0.07
807300,-1.53,0.65,-9.65,-0.15,0.04,0.02
807305,-0.13,3.05,-10.23,-0.22,0.11,0
807310,1.26,5.01,-10.03,-0.27,0.19,-0.04
807314,2.31,6.52,-9.7,-0.27,0.19,-0.05
807319,3.05,7.53,-9.57,-0.27,0.14,-0.02
807324,3.75,8.16,-9.72,-0.32,0.11,0
807328,3.58,7.9,-9.27,-0.35,0.11,0.01
807333,3.46,7.09,-9.67,-0.36,0.08,0.01
807337,3.48,5.91,-10.24,-0.38,0.07,0.02
807342,3.04,4.17,-10.4,-0.35,0.05,0.01
807346,2.59,2.5,-11.31,-0.34,0.05,0
807350,1.67,1.01,-11.34,-0.36,0.1,-0.01
807355,0.81,-0.71,-10.97,-0.38,0.14,-0.02
807365,-0.95,-1.55,-9.95,-0.38,0.11,0
807370,-1.41,-1.31,-9.64,-0.36,0.08,0.01
807404,1.81,2.96,-9.54,-0.37,0.1,-0.03
807409,2.13,2.86,-9.89,-0.35,0.07,-0.02
807414,2.28,2.53,-10.31,-0.35,0.07,-0.01
