millis,a_x,a_y,a_z,f
815068,-0.44,0.68,1.07,0
815072,-0.44,0.68,1.07,0
815076,-0.44,0.68,1.07,0
815080,-0.44,0.68,1.07,0
815085,-0.44,0.68,1.32,0
815089,-0.44,0.68,1.32,0
815093,-0.44,0.68,1.32,0
815098,-0.44,0.68,1.32,0
815102,-0.44,0.59,1.12,0
815106,-0.44,0.59,1.12,0
815110,-0.44,0.59,1.12,0
815124,-0.59,0.59,1.37,0
815128,-0.59,0.59,1.37,0
815132,-0.59,0.59,1.37,0
815137,-0.59,0.59,1.37,0
815141,-0.68,0.73,1.17,0
815146,-0.68,0.73,1.17,0
815150,-0.68,0.73,1.17,0
815154,-0.68,0.73,1.17,0
815159,-0.68,0.54,1.37,0
815163,-0.68,0.54,1.37,0
815167,-0.68,0.54,1.37,0
815172,-0.68,0.54,1.37,0
815176,-0.68,0.54,1.22,0
815180,-0.68,0.49,1.22,0
815185,-0.68,0.49,1.22,0
815189,-0.68,0.49,1.22,0
815193,-0.68,0.49,1.22,0
815198,-0.83,0.49,1.37,0
815202,-0.83,0.49,1.37,0
815206,-0.83,0.49,1.37,0
815211,-0.83,0.49,1.37,0
815215,-0.83,0.49,1.22,0
815220,-0.83,0.44,1.22,0
815224,-0.83,0.44,1.22,0
815228,-0.83,0.44,1.22,0
815233,-0.83,0.44,1.22,0
815237,-0.64,0.49,1.42,0
815241,-0.64,0.49,1.42,0
815246,-0.64,0.49,1.42,0
815250,-0.64,0.49,1.42,0
815254,-0.68,0.44,1.56,0
815259,-0.68,0.44,1.56,0
815263,-0.68,0.44,1.56,0
815267,-0.68,0.44,1.56,0
815272,-0.68,0.44,1.56,0
815276,-0.73,0.34,1.56,0
815280,-0.73,0.34,1.56,0
815285,-0.73,0.34,1.56,0
815289,-0.73,0.34,1.56,0
815293,-0.83,0.49,1.56,0
815298,-0.83,0.49,1.56,0
815302,-0.83,0.49,1.56,0
815307,-0.83,0.49,1.56,0
815311,-0.78,0.64,1.56,0
815315,-0.78,0.64,1.56,0
815320,-0.78,0.64,1.56,0
815324,-0.78,0.64,1.56,0
815328,-0.78,0.64,1.32,0
815333,-0.54,0.59,1.32,0
815337,-0.54,0.59,1.32,0
815341,-0.54,0.59,1.32,0
815345,-0.54,0.59,1.32,0
815350,-0.88,0.59,1.12,0
815354,-0.88,0.59,1.12,0
815358,-0.88,0.59,1.12,0
815363,-0.88,0.59,1.12,0
815367,-0.88,0.59,1.47,0
815371,-0.68,0.54,1.47,0
815375,-0.68,0.54,1.47,0
815380,-0.68,0.54,1.47,0
815384,-0.68,0.54,1.47,0
815388,-0.64,0.68,1.27,0
815392,-0.64,0.68,1.27,0
815397,-0.64,0.68,1.27,0
815424,-0.54,1.47,1.37,0
815428,-0.49,0.83,1.37,0
815432,-0.49,0.83,1.37,0
815437,-0.49,0.83,1.37,0
815441,-0.49,0.83,1.37,0
815445,-0.44,0.54,1.42,0
815450,-0.44,0.54,1.42,0
815454,-0.44,0.54,1.42,0
815458,-0.44,0.54,1.42,0
815463,-0.64,0.54,1.27,0
815467,-0.64,0.54,1.27,0
815471,-0.64,0.54,1.27,0
815476,-0.64,0.54,1.27,0
815480,-0.64,0.54,1.07,0
815484,-0.59,0.54,1.07,0
815489,-0.59,0.54,1.07,0
815493,-0.59,0.54,1.07,0
815497,-0.59,0.54,1.07,0
815502,-0.44,0.59,1.12,0
815506,-0.44,0.59,1.12,0
815510,-0.44,0.59,1.12,0
815515,-0.44,0.59,1.12,0
815519,-0.44,0.59,1.37,0
815524,-0.44,0.59,1.37,0
815528,-0.44,0.59,1.37,0
815533,-0.44,0.59,1.37,0
815537,-0.44,0.59,1.56,0
815542,-0.39,0.88,1.56,0
815546,-0.39,0.88,1.56,0
815550,-0.39,0.88,1.56,0
815555,-0.39,0.88,1.56,0
815559,-0.44,0.78,1.17,0
815563,-0.44,0.78,1.17,0
815568,-0.44,0.78,1.17,0
815572,-0.44,0.78,1.17,0
815576,-0.44,0.98,1.12,0
815580,-0.64,0.98,1.12,0
815585,-0.64,0.98,1.12,0
815589,-0.64,0.98,1.12,0
815593,-0.64,0.98,0.34,0
815598,-0.83,1.17,0.73,0
815602,-0.83,1.17,0.73,0
815606,-0.83,1.17,0.73,0
815611,-0.83,1.17,0.73,0
815615,-0.59,1.07,0.93,0
815619,-0.59,1.07,0.93,0
815624,-0.59,1.07,0.93,0
815628,-0.59,1.07,0.93,0
815632,-0.59,1.07,1.12,0
815637,-0.73,1.17,1.12,0
815641,-0.73,1.17,1.12,0
815645,-0.73,1.17,1.12,0
815650,-0.73,1.17,1.12,0
815654,-0.49,1.27,0.88,0
815658,-0.49,1.27,0.88,0
815663,-0.49,1.27,0.88,0
815667,-0.49,1.27,0.88,0
815671,-0.49,1.17,1.22,0
815676,-0.73,1.17,1.22,0
815680,-0.73,1.17,1.22,0
815684,-0.73,1.17,1.22,0
815688,-0.73,1.17,1.22,0
815693,-0.59,1.37,1.07,0
815697,-0.59,1.37,1.07,0
815701,-0.59,1.37,1.07,0
815706,-0.59,1.37,1.07,0
815710,-0.83,1.03,1.12,0
815714,-0.83,1.03,1.12,0
815719,-0.83,1.03,1.12,0
815723,-0.83,1.03,1.12,0
815727,-0.83,1.03,0.83,0
815731,-0.68,0.93,0.83,0
815736,-0.68,0.93,0.83,0
815740,-0.68,0.93,0.83,0
815744,-0.68,0.93,0.83,0
815748,-0.64,0.88,1.03,0
815753,-0.64,0.88,1.03,0
815757,-0.64,0.88,1.03,0
815761,-0.64,0.88,1.03,0
815813,-0.64,0.93,1.17,0
815817,-0.64,0.93,1.17,0
815821,-0.64,0.93,1.17,0
815826,-0.83,0.64,1.17,0
815830,-0.83,0.64,1.17,0
815834,-0.83,0.64,1.17,0
815839,-0.83,0.64,1.17,0
815843,-0.88,0.98,0.83,0
